timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
3732762176,-0.0,0.0,-1.1956651,0.0,0.82655746,0.0,0.0,-0.56285226,0.0,-1.0,1,0,0,0,0,0,0
3732861675,-0.0,0.0,-1.196309,0.0,0.82637626,0.0,0.0,-0.56311834,0.0,-1.0,1,0,0,0,0,0,0
3732967506,-0.0,0.0,-1.1953176,0.0,0.82665527,0.0,0.0,-0.5627087,0.0,-1.0,1,0,0,0,0,0,0
3733070972,-0.0,0.0,-1.1952314,0.0,0.8266795,0.0,0.0,-0.56267303,0.0,-1.0,1,0,0,0,0,0,0
3733171382,-0.0,0.0,-1.1949413,0.0,0.8267611,0.0,0.0,-0.5625531,0.0,-1.0,1,0,0,0,0,0,0
3733275307,-0.0,0.0,-1.1951535,0.0,0.8267015,0.0,0.0,-0.5626408,0.0,-1.0,1,0,0,0,0,0,0
3733375517,-0.0,0.0,-1.1949064,0.0,0.82677096,0.0,0.0,-0.5625387,0.016919473,-1.0,1,0,0,0,0,0,0
3733475202,-0.0,0.0,-1.1951492,0.0,0.82670265,0.0,0.0,-0.56263906,0.025107516,-1.0,1,0,0,0,0,0,0
3733576329,-0.0,0.0,-1.1948267,0.0,0.8267934,0.0,0.0,-0.5625057,0.024988286,-1.0,1,0,0,0,0,0,0
3733679794,-0.0,0.0,-1.1944101,0.0,0.8269105,0.0,0.0,-0.56233346,0.024999812,-1.0,1,0,0,0,0,0,0
3733779252,-0.0,0.0,-1.1947145,0.0,0.8268249,0.0,0.0,-0.56245935,0.025000004,-1.0,1,0,0,0,0,0,0
3733880894,-0.0,0.0,-1.1945268,0.0,0.8268777,0.0,0.0,-0.56238174,0.024999999,-1.0,1,0,0,0,0,0,0
3733984956,-0.0,0.0,-1.194878,0.0,0.82677895,0.0,0.0,-0.56252694,0.024999999,-1.0,1,0,0,0,0,0,0
3734084380,-0.0,0.0,-1.1949778,0.0,0.8267509,0.0,0.0,-0.5625682,0.024999999,-1.0,1,0,0,0,0,0,0
3734185085,-0.0,0.0,-1.1943711,0.0,0.82692146,0.0,0.0,-0.5623174,0.024999999,-1.0,1,0,0,0,0,0,0
3734288971,-0.0,0.0,-1.194833,0.0,0.82679164,0.0,0.0,-0.56250834,0.024999999,-1.0,1,0,0,0,0,0,0
3734389725,-0.0,0.0,-1.1945996,0.0,0.82685727,0.0,0.0,-0.56241184,0.024999999,-1.0,1,0,0,0,0,0,0
3734489767,-0.0,0.0,-1.1944174,0.0,0.82690847,0.0,0.0,-0.5623365,0.024999999,-1.0,1,0,0,0,0,0,0
3734593567,-0.0,0.0,-1.1942416,0.0,0.8269579,0.0,0.0,-0.56226385,0.024999999,-1.0,1,0,0,0,0,0,0
3734692946,-0.0,0.0,-1.1940322,0.0,0.8270168,0.0,0.0,-0.56217724,0.024999999,-1.0,1,0,0,0,0,0,0
3734796944,-0.0,0.0,-1.1939927,0.0,0.82702786,0.0,0.0,-0.5621609,0.024999999,-1.0,1,0,0,0,0,0,0
3734898763,-0.0,0.0,-1.1942091,0.0,0.82696706,0.0,0.0,-0.5622504,0.023261586,-1.0,1,0,0,0,0,0,0
3735002713,-0.0,0.0,-1.193645,0.0,0.8271256,0.0,0.0,-0.56201714,0.02334435,-1.0,1,0,0,0,0,0,0
3735101728,-0.0,0.0,-1.1941509,0.0,0.8269834,0.0,0.0,-0.56222636,0.0233335,-1.0,1,0,0,0,0,0,0
3735205690,-0.0,0.0,-1.1938269,0.0,0.8270745,0.0,0.0,-0.56209236,0.02333333,-1.0,1,0,0,0,0,0,0
3735306466,-0.0,0.0,-1.1941698,0.0,0.8269781,0.0,0.0,-0.5622341,0.023333332,-1.0,1,0,0,0,0,0,0
3735406566,-0.0,0.0,-1.1935607,0.0,0.8271493,0.0,0.0,-0.5619823,0.023333332,-1.0,1,0,0,0,0,0,0
3735510477,-0.0,0.0,-1.1937317,0.0,0.82710123,0.0,0.0,-0.56205297,0.023333332,-1.0,1,0,0,0,0,0,0
