timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
3732760645,-0.0014403022,-0.0012642724,-0.006357338,4000,0,0.11366841,-0.21014534,-9.960969,4000,-5486,0.16816317,0.11999147,-0.15900195,-8549,440.22626,59.949997
3732860663,-0.00604185,-0.006001402,0.009140881,4018,0,-1.2921877,1.3196855,-8.475853,4018,-13415,0.16560176,0.12330814,-0.15768144,-13520,440.31308,59.96
3732965459,0.0030800714,-0.004969345,0.018616874,3975,0,-1.0359015,-2.3541446,-10.731589,3975,-21137,0.16560176,0.12330814,-0.15504044,-210,439.27145,59.96
3733069445,0.033588655,-0.017865138,-0.0059539457,4001,0,-2.0925589,-0.43162432,-9.224486,4001,-8565,0.16432106,0.12441369,-0.15636094,-4212,438.66324,59.949997
3733169444,-0.013233464,0.016383398,0.0033388606,3999,0,1.794057,-0.71185714,-10.922354,3999,-6615,0.16560176,0.12551925,-0.15768144,-18112,438.9236,59.949997
3733273445,-0.012337657,-0.0062608374,0.002273525,4000,0,0.36975887,0.33007282,-10.220576,4000,-17959,0.16560176,0.12551925,-0.15371993,-3538,439.184,59.96
3733373459,-0.005045273,0.038502444,-0.0044880654,4014,0,2.475347,-1.0419374,-10.5106325,4014,-8288,0.16688247,0.12220258,-0.15900195,-4392,439.35757,59.96
3733474244,-0.013978744,0.015135458,-0.013065893,3993,0,-0.4845858,0.73470163,-9.204367,3993,-18141,0.16432106,0.12330814,-0.15371993,-18252,439.0972,59.96
3733574265,0.03750866,-0.039264288,0.012158072,4014,0,-3.3530157,-2.3309548,-9.466463,4014,-22101,0.16560176,0.12441369,-0.15768144,-6266,439.0972,59.96
3733678244,0.0030303188,-0.008499796,-0.0002357119,3999,0,-1.0639873,-1.6385,-10.471512,3999,-5178,0.16432106,0.12330814,-0.15504044,-181,439.61798,59.949997
3733778244,-0.021954868,-0.001891063,-0.0011961606,3999,0,-0.031693976,1.109514,-9.608349,3999,-10064,0.16432106,0.12441369,-0.15504044,-12226,439.5312,59.949997
3733879080,0.010150299,-0.000996802,-0.0014210186,4035,0,2.396581,-0.7937102,-9.389585,4035,-15587,0.16688247,0.12441369,-0.15636094,-4987,438.9236,59.949997
3733983045,0.010659626,0.01679538,-0.017980224,3994,0,1.3553298,-0.9034893,-10.9259405,3994,-18575,0.16816317,0.12551925,-0.15900195,-2757,438.75067,59.96
3734083045,0.0093029095,0.0138199525,0.009444343,3994,0,2.511644,-0.9557556,-10.11919,3994,-5962,0.16432106,0.12330814,-0.15371993,-13118,438.66324,59.96
3734183048,-0.022725275,-0.021230064,0.0043901713,3976,0,-2.1666646,0.032738443,-10.515321,3976,-8599,0.16560176,0.11999147,-0.15768144,-1851,438.48898,59.949997
