timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
3732534130,1557840871200288,-223533696,-486162096,497052,491355,0.22900002,0.45084172,0.541,0.92200005,0.63,0.81,111,13,0.014,-0.009000001,-0.011000001,0.069000006,0.22130878,0,4,1,19
3732787358,1557840871400288,-223533696,-486162095,497049,491353,0.142,0.45085028,0.541,0.92100006,0.63,0.81,111,13,0.051000003,0.010000001,0.05,0.030000001,0.22130878,0,4,1,19
3732939317,1557840871600288,-223533697,-486162094,497054,491357,0.23300001,0.45086443,0.54,0.92100006,0.63,0.81,111,13,0.006,0.003,-0.0050000004,0.041,0.22130878,0,4,1,19
3733132068,1557840871800288,-223533697,-486162093,497051,491354,0.136,0.4508728,0.54,0.92100006,0.63,0.81,111,13,0.022000002,0.020000001,0.007,-0.001,0.22130878,0,4,1,19
3733333108,1557840872000288,-223533697,-486162093,497046,491350,0.186,0.45088413,0.54,0.92100006,0.63,0.81,111,13,0.020000001,-0.020000001,0.003,-0.011000001,0.22130878,0,4,1,19
3733538072,1557840872200288,-223533697,-486162092,497052,491356,0.141,0.4508927,0.54,0.92100006,0.63,0.81,111,13,0.032,-0.027,-0.016,-0.006,0.22130878,0,4,1,19
3733730071,1557840872400288,-223533698,-486162092,497056,491360,0.21400002,0.45090562,0.54,0.92100006,0.63,0.81,111,13,0.012,-0.012,0.003,0.028,0.22130878,0,4,1,19
3733932555,1557840872600288,-223533698,-486162092,497043,491347,0.14,0.45091417,0.54,0.92100006,0.63,0.81,111,13,0.004,0.003,0.004,0.0,0.22130878,0,4,1,19
3734132339,1557840872800288,-223533698,-486162091,497041,491345,0.18800001,0.4509255,0.541,0.92100006,0.63,0.81,111,13,0.025,0.024,-0.0050000004,0.014,0.22130878,0,4,1,19
3734334086,1557840873000288,-223533698,-486162091,497051,491354,0.16900001,0.4509358,0.541,0.92100006,0.63,0.81,111,13,0.044000003,-0.015000001,-0.042000003,0.019000001,0.22130878,0,4,1,19
3734529761,1557840873200288,-223533698,-486162092,497049,491352,0.215,0.4509489,0.541,0.92100006,0.63,0.81,111,13,0.010000001,-0.0050000004,-0.008,-0.027,0.22130878,0,4,1,19
3734717692,1557840873400288,-223533698,-486162092,497049,491353,0.23200001,0.45096302,0.541,0.92100006,0.63,0.81,111,13,0.012,0.008,-0.010000001,0.020000001,0.22130878,0,4,1,19
3734935170,1557840873600288,-223533698,-486162091,497051,491354,0.179,0.45097384,0.541,0.92200005,0.63,0.81,111,13,0.009000001,-0.002,0.008,0.012,0.22130878,0,4,1,19
3735133926,1557840873800288,-223533698,-486162091,497056,491360,0.165,0.4509838,0.541,0.92200005,0.63,0.81,111,13,0.015000001,-0.015000001,0.002,0.009000001,0.22130878,0,4,1,19
3735340055,1557840874000288,-223533699,-486162090,497053,491357,0.23300001,0.4509981,0.541,0.92200005,0.63,0.81,111,13,0.010000001,0.009000001,-0.002,0.027,0.22130878,0,4,1,19
