timestamp,instance_count,seq_reached,item_changed_index,item_do_jump_remaining,app_param,seq_current,seq_total,valid,warning,finished,failure,read_complete,stay_in_failsafe,flight_termination,item_do_jump_changed
3619488783,13,-1,0,0,0.0,0,9,1,0,0,0,0,0,0,0
3735840902,13,-1,0,0,0.0,0,9,1,0,0,0,1,0,0,0
3735859711,13,-1,0,0,20.0,0,9,1,0,0,0,1,0,0,0
3735891882,13,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
3746057930,13,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
3762682738,13,0,0,0,200.0,1,9,1,0,0,0,0,0,0,0
3787389093,13,1,0,0,20.0,2,9,1,0,0,0,0,0,0,0
3792149907,13,2,0,0,200.0,3,9,1,0,0,0,0,0,0,0
3816357261,13,3,0,0,20.0,4,9,1,0,0,0,0,0,0,0
3820758524,13,4,0,0,200.0,5,9,1,0,0,0,0,0,0,0
3845226777,13,5,0,0,20.0,6,9,1,0,0,0,0,0,0,0
3849771145,13,6,0,0,200.0,7,9,1,0,0,0,0,0,0,0
3874112023,13,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
3874139727,13,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
3912971573,14,-1,0,0,0.0,8,9,1,0,0,0,0,0,0,0
