timestamp,windspeed_north,windspeed_east,variance_north,variance_east
3732761160,0.0,0.0,0.0,0.0
3732966148,0.0,0.0,0.0,0.0
3733166273,0.0,0.0,0.0,0.0
3733370095,0.0,0.0,0.0,0.0
3733570962,0.0,0.0,0.0,0.0
3733770897,0.0,0.0,0.0,0.0
3733975722,0.0,0.0,0.0,0.0
3734175898,0.0,0.0,0.0,0.0
3734376521,0.0,0.0,0.0,0.0
3734580491,0.0,0.0,0.0,0.0
3734784509,0.0,0.0,0.0,0.0
3734985353,0.0,0.0,0.0,0.0
3735185363,0.0,0.0,0.0,0.0
3735386067,0.0,0.0,0.0,0.0
3735586114,0.0,0.0,0.0,0.0
3735790875,0.0,0.0,0.0,0.0
3735994836,0.0,0.0,0.0,0.0
3736194872,0.0,0.0,0.0,0.0
3736395659,0.0,0.0,0.0,0.0
3736600456,0.0,0.0,0.0,0.0
3736804455,0.0,0.0,0.0,0.0
3737008405,0.0,0.0,0.0,0.0
3737209264,0.0,0.0,0.0,0.0
3737413309,0.0,0.0,0.0,0.0
3737613233,0.0,0.0,0.0,0.0
3737814180,0.0,0.0,0.0,0.0
3738018015,0.0,0.0,0.0,0.0
3738218803,0.0,0.0,0.0,0.0
3738418836,0.0,0.0,0.0,0.0
3738623638,0.0,0.0,0.0,0.0
3738827632,0.0,0.0,0.0,0.0
3739028423,0.0,0.0,0.0,0.0
3739232529,0.0,0.0,0.0,0.0
3739437354,0.0,0.0,0.0,0.0
3739637340,0.0,0.0,0.0,0.0
3739841278,0.0,0.0,0.0,0.0
3740042089,0.0,0.0,0.0,0.0
3740246031,0.0,0.0,0.0,0.0
3740446684,0.0,0.0,0.0,0.0
3740651116,0.0,0.0,0.0,0.0
3740850928,0.0,0.0,0.0,0.0
3741055642,0.0,0.0,0.0,0.0
3741259668,0.0,0.0,0.0,0.0
3741460458,0.0,0.0,0.0,0.0
3741660552,0.0,0.0,0.0,0.0
3741861268,0.0,0.0,0.0,0.0
3742065199,0.0,0.0,0.0,0.0
3742265346,0.0,0.0,0.0,0.0
3742466133,0.0,0.0,0.0,0.0
3742669991,0.0,0.0,0.0,0.0
3742870891,0.0,0.0,0.0,0.0
3743070909,0.0,0.0,0.0,0.0
3743275646,0.0,0.0,0.0,0.0
3743475673,0.0,0.0,0.0,0.0
3743676450,0.0,0.0,0.0,0.0
3743880451,0.0,0.0,0.0,0.0
3744084449,0.0,0.0,0.0,0.0
3744285235,0.0,0.0,0.0,0.0
3744489245,0.0,0.0,0.0,0.0
3744694105,0.0,0.0,0.0,0.0
3744894043,0.0,0.0,0.0,0.0
3745098968,0.0,0.0,0.0,0.0
3745302887,0.0,0.0,0.0,0.0
3745502823,0.0,0.0,0.0,0.0
3745707726,0.0,0.0,0.0,0.0
3745908504,0.0,0.0,0.0,0.0
3746108463,0.0,0.0,0.0,0.0
3746308529,0.0,0.0,0.0,0.0
3746512526,0.0,0.0,0.0,0.0
3746713274,0.0,0.0,0.0,0.0
3746913352,0.0,0.0,0.0,0.0
3747114106,0.0,0.0,0.0,0.0
3747318118,0.0,0.0,0.0,0.0
3747518824,0.0,0.0,0.0,0.0
3747722945,0.0,0.0,0.0,0.0
3747922892,0.0,0.0,0.0,0.0
3748123615,0.0,0.0,0.0,0.0
3748324421,0.0,0.0,0.0,0.0
3748524423,0.0,0.0,0.0,0.0
3748728438,0.0,0.0,0.0,0.0
3748929214,0.0,0.0,0.0,0.0
3749129268,0.0,0.0,0.0,0.0
3749330003,0.0,0.0,0.0,0.0
3749534016,0.0,0.0,0.0,0.0
3749738063,0.0,0.0,0.0,0.0
3749938808,0.0,0.0,0.0,0.0
3750142900,0.0,0.0,0.0,0.0
3750343873,0.0,0.0,0.0,0.0
3750547642,0.0,0.0,0.0,0.0
3750752850,0.0,0.0,0.0,0.0
3750953070,0.0,0.0,0.0,0.0
3751152560,0.0,0.0,0.0,0.0
3751357647,0.0,0.0,0.0,0.0
3751561225,0.0,0.0,0.0,0.0
3751762046,0.0,0.0,0.0,0.0
3751966156,0.0,0.0,0.0,0.0
3752166747,0.0,0.0,0.0,0.0
3752366804,0.0,0.0,0.0,0.0
3752571001,0.0,0.0,0.0,0.0
3752771708,0.0,0.0,0.0,0.0
3752971695,0.0,0.0,0.0,0.0
3753176431,0.0,0.0,0.0,0.0
3753380529,0.0,0.0,0.0,0.0
3753581328,0.0,0.0,0.0,0.0
3753785197,0.0,0.0,0.0,0.0
3753986070,0.0,0.0,0.0,0.0
3754190076,0.0,0.0,0.0,0.0
3754390047,0.0,0.0,0.0,0.0
3754591083,0.0,0.0,0.0,0.0
3754794814,0.0,0.0,0.0,0.0
3754995626,0.0,0.0,0.0,0.0
3755199967,0.0,0.0,0.0,0.0
3755404444,0.0,0.0,0.0,0.0
3755608558,0.0,0.0,0.0,0.0
3755812541,0.0,0.0,0.0,0.0
3756013240,0.0,0.0,0.0,0.0
3756213225,0.0,0.0,0.0,0.0
3756418032,0.0,0.0,0.0,0.0
3756618013,0.0,0.0,0.0,0.0
3756818807,0.0,0.0,0.0,0.0
3757022863,0.0,0.0,0.0,0.0
3757222905,0.0,0.0,0.0,0.0
3757424054,0.0,0.0,0.0,0.0
3757623779,0.0,0.0,0.0,0.0
3757828519,0.0,0.0,0.0,0.0
3758028399,0.0,0.0,0.0,0.0
3758229577,0.0,0.0,0.0,0.0
3758433208,0.0,0.0,0.0,0.0
3758633300,0.0,0.0,0.0,0.0
3758834116,0.0,0.0,0.0,0.0
3759034048,0.0,0.0,0.0,0.0
3759238862,0.0,0.0,0.0,0.0
3759442854,0.0,0.0,0.0,0.0
3759643704,0.0,0.0,0.0,0.0
