timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
3732754063,3732754063,18,255,0,0,0,1516,1514,1094,1514,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3732958870,3732958870,18,255,0,0,0,1516,1514,1094,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3733154880,3733154880,18,255,0,0,0,1516,1514,1094,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3733358948,3733358948,18,255,0,0,0,1516,1514,1117,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3733559674,3733559674,18,255,0,0,0,1516,1514,1119,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3733759912,3733759912,18,255,0,0,0,1516,1514,1119,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3733976871,3733976871,18,255,0,0,0,1516,1514,1119,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3734168477,3734168477,18,255,0,0,0,1516,1514,1119,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3734369291,3734369291,18,255,0,0,0,1516,1514,1119,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3734561324,3734561324,18,255,0,0,0,1516,1514,1119,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3734781268,3734781268,18,255,0,0,0,1515,1514,1119,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3734978068,3734978068,18,255,0,0,0,1515,1514,1118,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3735182113,3735182113,18,255,0,0,0,1515,1514,1118,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3735383132,3735383132,18,255,0,0,0,1515,1514,1118,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3735586954,3735586954,18,255,0,0,0,1515,1514,1118,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3735783708,3735783708,18,255,0,0,0,1515,1514,1118,1515,1094,1514,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
3735983712,3735983712,18,255,0,0,0,1515,1513,1118,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3736187675,3736187675,18,255,0,0,0,1515,1513,1118,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3736384508,3736384508,18,255,0,0,0,1515,1513,1117,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3736601274,3736601274,18,255,0,0,0,1515,1513,1117,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3736805289,3736805289,18,255,0,0,0,1515,1513,1123,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3736997264,3736997264,18,255,0,0,0,1515,1513,1272,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3737190162,3737190162,18,255,0,0,0,1515,1513,1348,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3737402479,3737402479,18,255,0,0,0,1515,1513,1363,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3737602065,3737602065,18,255,0,0,0,1515,1513,1362,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3737810867,3737810867,18,255,0,0,0,1515,1513,1392,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
3738006866,3738006866,18,255,0,0,0,1515,1513,1400,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
