timestamp,load,ram_usage
3732007315,0.535684,0.9243629
3733008035,0.656501,0.92456675
3734009492,0.623117,0.92456675
3735010864,0.614802,0.92456675
3736012802,0.6222,0.92456675
3737014493,0.682493,0.92456675
3738015771,0.67337203,0.92456675
3739018127,0.657622,0.92456675
3740019967,0.639331,0.92456675
3741021060,0.64415,0.92456675
3742023631,0.643174,0.92456675
3743024775,0.645163,0.92456675
3744026378,0.641982,0.92456675
3745027561,0.634451,0.92456675
3746030339,0.643377,0.92456675
3747031759,0.680801,0.92456675
3748036816,0.713136,0.92456675
3749038869,0.716159,0.92456675
3750044515,0.717663,0.92456675
3751050728,0.719819,0.92456675
3752051673,0.705259,0.92456675
3753054804,0.720203,0.92456675
3754056553,0.669215,0.92456675
3755057697,0.669812,0.92456675
3756058955,0.671047,0.92456675
3757060344,0.668554,0.92456675
3758061965,0.670248,0.92456675
3759063583,0.661266,0.92456675
3760069972,0.671628,0.92456675
3761071645,0.664858,0.92456675
3762073759,0.672161,0.92456675
3763075171,0.67435,0.92456675
3764076474,0.704901,0.92456675
3765078545,0.719423,0.92456675
3766080059,0.711806,0.92456675
3767082058,0.718824,0.92456675
3768083772,0.71178,0.92456675
3769085766,0.721565,0.92456675
3770086989,0.720715,0.92456675
3771087989,0.71597,0.92456675
3772094694,0.71888,0.92456675
3773095798,0.707171,0.92456675
3774098705,0.713411,0.92456675
3775099739,0.686335,0.92456675
3776100848,0.669574,0.92456675
3777103355,0.66842,0.92456675
3778104100,0.666053,0.92456675
3779106412,0.670926,0.92456675
3780107917,0.659348,0.92456675
3781109153,0.671253,0.92456675
3782112585,0.660952,0.92456675
3783113635,0.670143,0.92456675
3784115721,0.670796,0.92456675
3785116052,0.665925,0.92456675
3786118326,0.668509,0.92456675
3787120113,0.664297,0.92456675
3788125641,0.692539,0.92456675
3789127148,0.720136,0.92456675
3790128463,0.7269,0.92456675
3791131634,0.721666,0.92456675
3792133102,0.717386,0.92456675
3793134126,0.725478,0.92456675
3794135635,0.714106,0.92456675
3795142340,0.717044,0.92456675
3796143486,0.714735,0.92456675
3797145269,0.717245,0.92456675
3798148511,0.713456,0.92456675
3799156744,0.71561,0.92456675
3800158012,0.717229,0.92456675
3801159913,0.712386,0.92456675
3802161072,0.712814,0.92456675
3803163194,0.665689,0.92456675
3804164880,0.673265,0.92456675
3805165994,0.671026,0.92456675
3806168958,0.668872,0.92456675
3807170035,0.669654,0.92456675
3808171476,0.662236,0.92456675
3809172930,0.664633,0.92456675
3810175529,0.666178,0.92456675
3811176910,0.669662,0.92456675
3812178585,0.668436,0.92456675
3813180152,0.669432,0.92456675
3814181730,0.672572,0.92456675
3815184953,0.66314,0.92456675
3816189274,0.666855,0.92456675
3817190758,0.674685,0.92456675
3818193627,0.722463,0.92456675
3819195606,0.71698,0.92456675
3820196094,0.715701,0.92456675
3821197518,0.723894,0.92456675
3822205169,0.712644,0.92456675
3823206156,0.716944,0.92456675
3824207715,0.717516,0.92456675
3825209043,0.713655,0.92456675
3826215154,0.712729,0.92456675
3827218963,0.716724,0.92456675
3828221780,0.720262,0.92456675
3829223982,0.710198,0.92456675
3830226763,0.664228,0.92456675
3831230505,0.665492,0.92456675
3832232440,0.667732,0.92456675
3833234477,0.671757,0.92456675
3834235721,0.665476,0.92456675
3835236918,0.672903,0.92456675
3836238669,0.664432,0.92456675
3837238052,0.66561,0.92456675
3838243178,0.6688,0.92456675
3839244477,0.668399,0.92456675
3840245763,0.670075,0.92456675
3841247541,0.666701,0.92456675
3842248570,0.668223,0.92456675
3843251105,0.667797,0.92456675
3844253122,0.665832,0.92456675
3845254502,0.671913,0.92456675
3846255588,0.711055,0.92456675
3847258521,0.718693,0.92456675
3848260552,0.71756,0.92456675
3849261566,0.719683,0.92456675
3850262704,0.710426,0.92456675
3851268744,0.689322,0.92456675
3852270055,0.689097,0.92456675
3853272405,0.686608,0.92456675
3854274013,0.690309,0.92456675
3855276533,0.685998,0.92456675
3856282166,0.688654,0.92456675
3857288070,0.692137,0.92456675
3858289691,0.673719,0.92456675
3859293236,0.633485,0.92456675
3860296803,0.634631,0.92456675
3861297579,0.640943,0.92456675
3862299213,0.63556,0.92456675
3863300055,0.64039,0.92456675
3864301649,0.638922,0.92456675
3865304489,0.639115,0.92456675
3866306793,0.634072,0.92456675
3867307526,0.636252,0.92456675
3868308850,0.643576,0.92456675
3869310453,0.638486,0.92456675
3870312808,0.64228,0.92456675
3871315379,0.641373,0.92456675
3872315989,0.640375,0.92456675
3873317090,0.63715,0.92456675
3874318432,0.636385,0.92456675
3875322692,0.63282603,0.92456675
3876323323,0.658455,0.92456675
3877323997,0.658108,0.92456675
3878326951,0.651366,0.92456675
3879328055,0.654845,0.92456675
3880329717,0.657697,0.92456675
3881329989,0.65031,0.92456675
3882331798,0.656821,0.92456675
3883333891,0.654831,0.92456675
3884336138,0.654436,0.92456675
3885339793,0.656956,0.92456675
3886344182,0.650148,0.92456675
3887346035,0.651842,0.92456675
3888346989,0.622677,0.92456675
3889347989,0.608461,0.92456675
3890350281,0.634128,0.92456675
3891351152,0.652815,0.92456675
3892352866,0.658883,0.92456675
3893355510,0.648098,0.92456675
3894356668,0.657057,0.92456675
3895362479,0.652,0.92456675
3896364282,0.655919,0.92456675
3897365535,0.659167,0.92456675
3898370813,0.652619,0.92456675
3899374396,0.614636,0.92456675
3900375173,0.608218,0.92456675
3901376166,0.611659,0.92456675
3902378048,0.607718,0.92456675
3903380831,0.615386,0.92456675
3904381989,0.616662,0.92456675
3905382989,0.61016,0.92456675
3906384838,0.619037,0.92456675
3907387506,0.610414,0.92456675
3908388378,0.614457,0.92456675
3909389068,0.608207,0.92456675
3910391141,0.611565,0.92456675
3911393969,0.602349,0.92456675
3912395223,0.580295,0.92456675
3913397605,0.636683,0.92456675
