timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
3732760778,3732760645,-0.025201017,0.0092342,0.001145301,0.0,0.0,0.0,0.0,-1.0
3732860798,3732860663,-0.023199262,0.011802227,-5.9100453e-06,0.0,0.0,0.0,0.0,-1.0
3732965596,3732965459,-0.02895028,0.007981062,-0.0024223356,0.0,0.0,0.0,0.0,-1.0
3733069580,3733069445,-0.023538915,0.009084344,-2.1929609e-05,0.0,0.0,0.0,0.0,-1.0
3733169622,3733169444,-0.025968373,0.009108534,-0.00036571414,0.0,0.0,0.0,0.0,-1.0
3733269654,3733269445,-0.02608507,0.0082369,-0.00038990667,0.0,0.0,0.0,0.0,-1.0
3733373634,3733373459,-0.02651673,0.008814579,-0.0016109091,0.016919473,0.0,0.0,0.0,-1.0
3733474421,3733474244,-0.024940286,0.012686967,0.0011898277,0.025107516,0.0,0.0,0.0,-1.0
3733574408,3733574265,-0.025412647,0.009389675,-0.0012573921,0.024988286,0.0,0.0,0.0,-1.0
3733678381,3733678244,-0.027344046,0.007831298,-0.0013747432,0.024999812,0.0,0.0,0.0,-1.0
3733778381,3733778244,-0.023419423,0.010287822,-0.00032745703,0.025000004,0.0,0.0,0.0,-1.0
3733879228,3733879080,-0.027606951,0.007740181,-0.000547114,0.024999999,0.0,0.0,0.0,-1.0
3733983217,3733983045,-0.024705043,0.0061546327,0.0025780858,0.024999999,0.0,0.0,0.0,-1.0
3734083216,3734083045,-0.024155889,0.00910122,-0.0015328986,0.024999999,0.0,0.0,0.0,-1.0
3734183229,3734183048,-0.025620315,0.00877919,-0.0016121108,0.024999999,0.0,0.0,0.0,-1.0
3734287249,3734287097,-0.026034331,0.00869575,0.001023979,0.024999999,0.0,0.0,0.0,-1.0
3734388048,3734387896,-0.02747837,0.007244612,-0.001084338,0.024999999,0.0,0.0,0.0,-1.0
3734488050,3734487857,-0.02871319,0.006747913,-0.0017444786,0.024999999,0.0,0.0,0.0,-1.0
3734591985,3734591845,-0.027130932,0.0069386787,4.8356844e-05,0.024999999,0.0,0.0,0.0,-1.0
3734691986,3734691845,-0.02381449,0.009071075,-0.0013479074,0.024999999,0.0,0.0,0.0,-1.0
3734792069,3734791878,-0.024762873,0.0109825,0.00047094113,0.024999999,0.0,0.0,0.0,-1.0
3734896783,3734896650,-0.025992591,0.010050118,-0.0015630642,0.023261586,0.0,0.0,0.0,-1.0
3735000782,3735000649,-0.02707272,0.010178216,-0.0005151573,0.02334435,0.0,0.0,0.0,-1.0
3735100855,3735100645,-0.02800385,0.008451102,0.0007165086,0.02333331,0.0,0.0,0.0,-1.0
3735204812,3735204651,-0.026721576,0.011574085,-0.0010110759,0.02333333,0.0,0.0,0.0,-1.0
3735304783,3735304651,-0.026044795,0.010065792,0.00039682843,0.023333332,0.0,0.0,0.0,-1.0
3735405587,3735405451,-0.02136683,0.009711844,-0.0021467898,0.023333332,0.0,0.0,0.0,-1.0
3735509581,3735509445,-0.027632454,0.007861978,0.0011928438,0.023333332,0.0,0.0,0.0,-1.0
3735609583,3735609445,-0.024677675,0.010248383,-0.00076932943,0.023333332,0.0,0.0,0.0,-1.0
3735709581,3735709449,-0.02576255,0.00950673,-0.00074552424,0.023333332,0.0,0.0,0.0,-1.0
3735814416,3735814273,-0.027990121,0.006110971,-0.00071690255,0.1,0.0,0.0,0.0,-1.0
3735918391,3735918245,-0.023258422,0.008696498,0.00024752505,0.63696027,0.0,0.0,0.0,-1.0
3736018403,3736018264,-0.012719819,0.028926432,0.0024894655,0.58474535,0.0,0.0,0.0,-1.0
3736122516,3736122288,-0.006367035,0.031457923,-0.009974611,0.44606683,0.0,0.0,0.0,-1.0
3736222507,3736222336,-0.004800141,0.03724608,-0.014860388,0.45501626,0.0,0.0,0.0,-1.0
3736323211,3736323063,0.012493938,0.043835815,-0.016072493,0.4428875,0.0,0.0,0.0,-1.0
3736423187,3736423046,0.01251926,0.02307966,-0.023843091,0.45544782,0.0,0.0,0.0,-1.0
3736527218,3736527050,0.010974315,0.016733943,-0.035214543,0.46287808,0.0,0.0,0.0,-1.0
3736628022,3736627845,0.016254127,0.02093994,-0.04812694,0.45352036,0.0,0.0,0.0,-1.0
3736728041,3736727851,0.016062813,0.005021916,-0.056982767,0.42934588,0.0,0.0,0.0,-1.0
3736831997,3736831845,0.018707607,0.003948614,-0.06561282,0.42294997,0.0,0.0,0.0,-1.0
3736932058,3736931874,0.016534504,-0.0003668631,-0.07828943,0.41371864,0.0,0.0,0.0,-1.0
3737036037,3737035849,0.011809591,0.0029901927,-0.085691296,0.405165,0.0,0.0,0.0,-1.0
3737135993,3737135845,0.00014978275,0.014295753,-0.09177988,0.3936998,0.0,0.0,0.0,-1.0
3737236781,3737236645,-0.0021763784,0.014902509,-0.097114354,0.3819344,0.0,0.0,0.0,-1.0
3737336782,3737336645,-0.0049110404,0.016647717,-0.103802264,0.3912224,0.0,0.0,0.0,-1.0
3737440782,3737440645,-0.00748399,0.020737005,-0.10773877,0.37289587,0.0,0.0,0.0,-1.0
3737540793,3737540645,-0.009638094,0.02410473,-0.11097104,0.37703097,0.0,0.0,0.0,-1.0
3737640826,3737640645,-0.0069398256,0.02071255,-0.11654114,0.3639515,0.0,0.0,0.0,-1.0
3737741627,3737741445,-0.01005669,0.026807103,-0.11854683,0.37184522,0.0,0.0,0.0,-1.0
3737841587,3737841445,-0.0092167165,0.022587212,-0.11804237,0.36391798,0.0,0.0,0.0,-1.0
3737945588,3737945444,-0.009053414,0.03334223,-0.12033125,0.3527293,0.0,0.0,0.0,-1.0
3738045579,3738045445,-0.011604703,0.032174785,-0.12138349,0.36030692,0.0,0.0,0.0,-1.0
3738146386,3738146251,-0.013775915,0.031618763,-0.12002115,0.3575327,0.0,0.0,0.0,-1.0
3738250457,3738250245,-0.011945171,0.0313326,-0.11926725,0.35562572,0.0,0.0,0.0,-1.0
3738350451,3738350244,-0.012334652,0.027517583,-0.11929769,0.36000213,0.0,0.0,0.0,-1.0
3738450500,3738450256,-0.013097602,0.025134219,-0.11720568,0.36123466,0.0,0.0,0.0,-1.0
3738550415,3738550244,-0.0066744955,0.030468624,-0.115269415,0.3534744,0.0,0.0,0.0,-1.0
3738655234,3738655091,-0.0016160861,0.029234769,-0.11460817,0.3644585,0.0,0.0,0.0,-1.0
3738755206,3738755068,0.0019804398,0.027296996,-0.11357832,0.36230168,0.0,0.0,0.0,-1.0
3738859237,3738859093,0.0076958537,0.029478718,-0.11040118,0.3543114,0.0,0.0,0.0,-1.0
3738959181,3738959047,0.009527772,0.024194598,-0.108719915,0.36242408,0.0,0.0,0.0,-1.0
3739059990,3739059845,0.0042206175,0.026648272,-0.10785827,0.3623507,0.0,0.0,0.0,-1.0
3739164035,3739163855,0.009392887,0.021356627,-0.105843544,0.35884184,0.0,0.0,0.0,-1.0
3739264026,3739263851,0.008510932,0.025183743,-0.103798434,0.3726226,0.0,0.0,0.0,-1.0
3739364002,3739363863,0.009309486,0.020872498,-0.10378571,0.37465033,0.0,0.0,0.0,-1.0
3739464817,3739464661,0.006703765,0.026939549,-0.10149757,0.36257473,0.0,0.0,0.0,-1.0
3739568810,3739568645,0.0034683926,0.02502125,-0.09846596,0.37915275,0.0,0.0,0.0,-1.0
3739672791,3739672654,0.004895271,0.025864858,-0.096123636,0.36233157,0.0,0.0,0.0,-1.0
3739772782,3739772652,-0.0021210185,0.030842207,-0.09461145,0.3732517,0.0,0.0,0.0,-1.0
3739876780,3739876644,-0.0011032497,0.0293353,-0.09167245,0.37297848,0.0,0.0,0.0,-1.0
3739977580,3739977444,-0.0032904074,0.029618548,-0.09003936,0.37097415,0.0,0.0,0.0,-1.0
3740077580,3740077449,7.815659e-05,0.028508225,-0.08862416,0.37294504,0.0,0.0,0.0,-1.0
3740181629,3740181451,-0.003030833,0.033041913,-0.08739817,0.37142095,0.0,0.0,0.0,-1.0
3740281642,3740281450,-0.00301051,0.026278151,-0.08464289,0.37081036,0.0,0.0,0.0,-1.0
3740381661,3740381482,-0.0061240513,0.031024124,-0.08391888,0.38145998,0.0,0.0,0.0,-1.0
3740486386,3740486255,-0.00090795313,0.032358583,-0.08250753,0.37968278,0.0,0.0,0.0,-1.0
3740586399,3740586260,-0.0037611395,0.0329263,-0.080871165,0.37348843,0.0,0.0,0.0,-1.0
3740686420,3740686245,0.0021787384,0.028517451,-0.079594344,0.37629437,0.0,0.0,0.0,-1.0
3740790423,3740790251,-0.001976185,0.035019454,-0.07815926,0.3738486,0.0,0.0,0.0,-1.0
3740890414,3740890245,-0.004284814,0.035295345,-0.07756395,0.38366923,0.0,0.0,0.0,-1.0
3740991182,3740991048,-0.004218359,0.032267015,-0.07659177,0.3862905,0.0,0.0,0.0,-1.0
3741095256,3741095050,-0.0076516345,0.03598623,-0.07596617,0.3865663,0.0,0.0,0.0,-1.0
3741199227,3741199051,-0.0074057435,0.032860305,-0.07614203,0.38010716,0.0,0.0,0.0,-1.0
3741304032,3741303845,-0.004774607,0.029390784,-0.07708818,0.372858,0.0,0.0,0.0,-1.0
3741404035,3741403850,-0.00895494,0.033690292,-0.078804836,0.376634,0.0,0.0,0.0,-1.0
3741508057,3741507879,-0.00926566,0.031290345,-0.08104783,0.37578598,0.0,0.0,0.0,-1.0
3741608022,3741607851,-0.010315974,0.03568903,-0.08315794,0.38135147,0.0,0.0,0.0,-1.0
3741711987,3741711849,-0.005263802,0.033478074,-0.087100014,0.38341135,0.0,0.0,0.0,-1.0
3741816008,3741815845,-0.005944307,0.030545784,-0.0904171,0.38864258,0.0,0.0,0.0,-1.0
3741916811,3741916651,0.0007208239,0.026093973,-0.092712656,0.38235325,0.0,0.0,0.0,-1.0
3742016783,3742016651,-0.00055961055,0.024566116,-0.0965575,0.38103744,0.0,0.0,0.0,-1.0
3742120778,3742120645,0.0024506645,0.026460765,-0.09958578,0.38089043,0.0,0.0,0.0,-1.0
3742220843,3742220667,0.0006040466,0.025765348,-0.10232006,0.37248638,0.0,0.0,0.0,-1.0
3742320837,3742320657,-0.00010750425,0.030177802,-0.105343506,0.3810611,0.0,0.0,0.0,-1.0
3742425629,3742425451,-0.00055916863,0.029590134,-0.1089079,0.3735296,0.0,0.0,0.0,-1.0
3742525587,3742525451,-0.0016936897,0.031618476,-0.1114112,0.3820943,0.0,0.0,0.0,-1.0
3742625590,3742625451,-0.00071050035,0.02739008,-0.113365375,0.37245953,0.0,0.0,0.0,-1.0
3742729575,3742729445,-0.003509311,0.03206086,-0.11597084,0.37767673,0.0,0.0,0.0,-1.0
3742830416,3742830245,-0.0026206886,0.027444594,-0.1183237,0.36269358,0.0,0.0,0.0,-1.0
3742930410,3742930244,-0.0062821666,0.035863347,-0.118983194,0.37865642,0.0,0.0,0.0,-1.0
3743034411,3743034251,-0.005140809,0.026516773,-0.11977415,0.37260413,0.0,0.0,0.0,-1.0
3743134454,3743134245,-0.00943769,0.03163251,-0.11990413,0.37711948,0.0,0.0,0.0,-1.0
3743235254,3743235045,-0.012093866,0.024840098,-0.12020926,0.37261787,0.0,0.0,0.0,-1.0
3743339236,3743339045,-0.010868942,0.028787639,-0.11922375,0.38347828,0.0,0.0,0.0,-1.0
3743443197,3743443061,-0.012048907,0.02560385,-0.1187401,0.36474282,0.0,0.0,0.0,-1.0
3743543187,3743543051,-0.011852862,0.031912155,-0.11690766,0.37981874,0.0,0.0,0.0,-1.0
3743647218,3743647047,-0.009265267,0.021004852,-0.11459243,0.3714941,0.0,0.0,0.0,-1.0
3743748026,3743747845,-0.013919468,0.029042289,-0.1127979,0.38429186,0.0,0.0,0.0,-1.0
3743848012,3743847845,-0.011699652,0.02106291,-0.11126632,0.37418845,0.0,0.0,0.0,-1.0
3743952001,3743951855,-0.012935485,0.026863508,-0.10995872,0.38369724,0.0,0.0,0.0,-1.0
3744055988,3744055845,-0.010491006,0.03051398,-0.1089682,0.38513774,0.0,0.0,0.0,-1.0
3744156781,3744156645,-0.008515576,0.020487126,-0.10764074,0.3838123,0.0,0.0,0.0,-1.0
