timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
3732430089,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3732788058,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3733023792,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3733251207,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3733484100,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3733712982,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3733956476,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3734196409,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3734434181,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3734674890,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3734914695,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3735154538,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3735387789,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3735615221,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3735768632,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0
3735868272,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3736096871,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3736337564,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3736577974,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3736821699,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3737062520,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3737302482,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3737542530,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3737787339,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3738027372,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3738268167,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3738502169,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3738746279,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3738987095,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3739226090,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3739463666,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3739702165,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3739939956,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3740180847,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3740419970,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3740660848,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3740892707,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3741133323,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3741370532,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3741610904,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3741854420,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3742094679,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3742336916,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3742575487,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3742820087,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3743052079,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3743284670,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3743524548,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3743765372,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3744010357,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3744255364,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3744495877,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3744736073,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3744973159,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3745212831,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3745444934,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3745680936,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3745921580,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3746162019,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3746401704,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3746642461,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
3746882891,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
