timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3732761160,-0.005229161,0.00011403824,-0.0079016,-0.82629174,-0.020130087,0.02537865,0.5623102,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3732793296,-0.0040292763,0.00010929606,-0.01376483,-0.8262037,-0.020133065,0.025367392,0.5624399,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3732825357,-0.0036151593,-0.014298028,-0.0060309935,-0.82609975,-0.020049436,0.025387945,0.56259465,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3732857267,-0.016573975,-0.02956415,0.008348435,-0.8261077,-0.019852746,0.02541225,0.562589,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3732889235,-0.0065199872,0.004059557,0.015724275,-0.8262185,-0.019811837,0.025402337,0.56242806,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3732921522,-0.011974692,-0.0014766572,-0.004397031,-0.82629716,-0.019796154,0.02539322,0.56231344,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3732954088,0.021361673,-0.02481377,0.0012580747,-0.8263699,-0.019798724,0.025426133,0.56220514,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3732986058,0.0100402925,0.008841384,0.0022066159,-0.82640415,-0.019846862,0.025397096,0.5621542,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733018128,-0.0054696347,0.010605883,-0.008574898,-0.8264376,-0.019786334,0.025378658,0.56210804,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733049975,0.007977917,0.0015831146,-0.0016130818,-0.82641906,-0.019834623,0.025430158,0.5621313,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733078102,0.010427257,-0.0019721086,0.0052544493,-0.82642955,-0.01988363,0.025404122,0.5621151,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733110179,-0.010201796,0.014011065,-0.008450678,-0.82647204,-0.019826813,0.025388548,0.56205547,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733142361,0.006356388,-0.004814776,-0.010650923,-0.82649606,-0.019798309,0.025401609,0.5620205,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733174178,0.00993087,-0.015518648,-0.0026350818,-0.8265001,-0.019779129,0.025398962,0.56201553,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733206105,0.0014528483,-0.007633547,-0.02289988,-0.8264463,-0.019812569,0.025372887,0.56209457,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733238174,0.007602133,-0.0046604327,-0.0009503212,-0.8264325,-0.019832114,0.025382444,0.56211364,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733270515,-0.012778984,0.011507825,-0.0098550925,-0.8264405,-0.019840965,0.025365148,0.5621023,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733302047,0.013700075,-0.0123369405,0.0016295328,-0.8264495,-0.019858783,0.025423165,0.56208587,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733334060,0.011117624,-0.013620763,0.002730783,-0.82646483,-0.019937716,0.025416572,0.56206083,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733366185,0.0071654674,-0.02505038,0.00793455,-0.8265032,-0.019887354,0.02540951,0.5620065,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733398087,-0.005136114,0.009782412,-0.00013831898,-0.82652974,-0.019901758,0.02536387,0.56196916,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733430056,-0.026780916,0.018780632,-0.01419265,-0.8265069,-0.019830553,0.02534338,0.56200594,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733462912,-0.007933861,0.023877002,-0.0039061531,-0.8264495,-0.019870857,0.025362592,0.5620883,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733494823,0.0026573953,-0.025448563,0.00389543,-0.8264597,-0.01983655,0.025408985,0.5620723,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733527097,0.012543324,-0.027104642,0.011028349,-0.82648975,-0.019852381,0.025396379,0.56202817,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733558913,-0.00081782904,0.0017365459,0.014428632,-0.8265352,-0.019888774,0.025377553,0.56196076,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733591098,-0.011788608,0.034697287,-0.0057485127,-0.8265438,-0.01990007,0.025344921,0.5619494,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733622923,0.016132876,-0.007368786,0.012326162,-0.8265984,-0.019903047,0.025396414,0.5618667,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733654805,-0.0062516346,-0.008742379,0.017591022,-0.8266584,-0.01988124,0.025381243,0.56177986,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733686878,0.0033421481,-0.020793313,-0.005726112,-0.82662743,-0.019873125,0.025377138,0.5618257,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3733718871,-0.00225052,0.021214504,-0.006327435,-0.8265901,-0.019887876,0.025344858,0.5618816,0.45652595,0.006792323,-0.00017384968,0.88968414,1
