timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
0,0.96177006,0.050093926,0.07286772
0,0.96430546,0.050032355,0.07226258
0,0.9824924,0.054328192,0.07142389
0,0.9353282,0.054681934,0.07132894
0,0.9713554,0.056704342,0.06943751
0,0.9512859,0.052991077,0.076562874
