timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch
3341129276,0.0,0.0,0.0,0.0022058457,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3341341320,0.0,0.0,0.0,4.0097083e-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3341534110,0.0,0.0,0.0,-4.2544587e-10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3341734077,0.0,0.0,0.013292482,2.0150044e-13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3341926064,0.0,0.0,0.013284482,4.263226e-18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3342146865,0.0,0.0,0.013285023,-4.7294917e-20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3342338895,0.0,0.0,0.013285023,1.0201135e-23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3342551677,0.0,0.0,0.013285023,9.692485e-27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3342751709,0.0,0.0,0.013285023,-3.764961e-30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3342944498,0.0,0.0,0.013285023,-8.175134e-34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3343144466,0.0,0.0,0.013285023,2.3069552e-36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3343361268,0.0,0.0,0.013285023,-1.00323e-40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3343553284,0.0,0.0,0.013285023,-3.27e-43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3343749700,0.0,0.0,0.013285023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3343958065,0.0,0.0,0.013285023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3344158487,0.0,0.0,0.011986201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3344363095,0.0,0.0,0.012077343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3344550876,0.0,0.0,0.012077293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3344767763,0.0,0.0,0.06224143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3344967683,0.0,0.0,0.24916285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
3345172506,0.0,0.0,0.4363586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0
