timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
3341111084,1557840479800235,-223533676,-486162271,496945,491248,0.128,0.6835997,0.51100004,0.71400005,0.57,0.74,119,11,0.020000001,0.011000001,0.017,-0.004,6.141006,0,4,1,20
3341317897,1557840480000235,-223533676,-486162271,496953,491257,0.13900001,0.68360525,0.51100004,0.71300006,0.57,0.74,119,10,0.018000001,0.006,0.018000001,-0.007,6.141006,0,4,1,20
3341510106,1557840480200235,-223533676,-486162271,496947,491251,0.19600001,0.6836131,0.51100004,0.71400005,0.57,0.74,119,10,0.004,-0.004,-0.002,0.020000001,6.141006,0,4,1,20
3341715189,1557840480400235,-223533676,-486162270,496952,491256,0.162,0.6836196,0.51100004,0.71500003,0.57,0.74,119,10,0.032,0.028,0.014,0.020000001,6.141006,0,4,1,20
3341909884,1557840480600235,-223533676,-486162270,496958,491262,0.192,0.68362725,0.51100004,0.71500003,0.57,0.74,119,10,0.010000001,-0.006,-0.008,-0.015000001,6.141006,0,4,1,20
3342109125,1557840480800235,-223533676,-486162271,496964,491268,0.19900002,0.6836353,0.51100004,0.716,0.57,0.74,119,10,0.024,-0.011000001,-0.021000002,-0.053000003,6.141006,0,4,1,20
3342315576,1557840481000235,-223533676,-486162271,496971,491275,0.16800001,0.6836419,0.51100004,0.717,0.57,0.74,119,12,0.011000001,-0.010000001,-0.003,0.009000001,6.141006,0,4,1,20
3342518041,1557840481200235,-223533677,-486162271,496977,491281,0.187,0.6836494,0.51100004,0.71800005,0.57,0.74,119,12,0.030000001,-0.018000001,0.024,-0.033,6.141006,0,4,1,20
3342712451,1557840481400235,-223533677,-486162271,496994,491298,0.147,0.6836554,0.51100004,0.71800005,0.57,0.74,119,12,0.012,-0.003,0.011000001,-0.003,6.141006,0,4,1,20
3342914038,1557840481600235,-223533677,-486162271,497004,491307,0.142,0.68366116,0.51100004,0.71900004,0.57,0.74,119,12,0.006,-0.004,-0.0050000004,-0.003,6.141006,0,4,1,20
3343116422,1557840481800235,-223533677,-486162272,497001,491304,0.165,0.6836678,0.51100004,0.72,0.57,0.74,119,12,0.036000002,-0.013,-0.034,0.028,6.141006,0,4,1,20
3343317975,1557840482000235,-223533677,-486162273,497012,491316,0.15100001,0.68367386,0.51100004,0.721,0.57,0.74,119,12,0.029000001,-0.010000001,-0.027,0.015000001,6.141006,0,4,1,20
3343514520,1557840482200235,-223533676,-486162276,497092,491395,0.20500001,0.46627566,0.51100004,0.721,0.57,0.74,119,12,0.30100003,0.082,-0.289,-0.74,5.353357,0,4,1,20
3343718028,1557840482400235,-223533673,-486162280,497339,491642,0.209,0.43770674,0.51100004,0.72200006,0.57,0.74,119,12,0.307,0.246,-0.18300001,-1.294,5.5073214,0,4,1,20
3343915105,1557840482600235,-223533670,-486162284,497659,491962,0.19600001,0.68672,0.51000005,0.72,0.57,0.74,119,12,0.194,0.010000001,-0.194,-1.5970001,5.2921305,0,4,1,20
3344115161,1557840482800235,-223533670,-486162290,498017,492321,0.19800001,0.3800325,0.509,0.71900004,0.57,0.74,119,12,0.365,-0.066,-0.35900003,-1.8930001,4.709003,0,4,1,20
3344317139,1557840483000235,-223533671,-486162295,498361,492665,0.19100001,0.74875337,0.508,0.717,0.57,0.74,119,12,0.16700001,-0.067,-0.15300001,-1.8280001,4.624661,0,4,1,20
3344516097,1557840483200235,-223533671,-486162298,498712,493016,0.19500001,0.75604236,0.507,0.716,0.57,0.74,119,12,0.17,-0.048,-0.164,-1.748,4.527548,0,4,1,20
3344719911,1557840483400235,-223533673,-486162301,499073,493376,0.2,0.6488778,0.50600004,0.716,0.57,0.74,119,12,0.21000001,-0.142,-0.155,-1.8690001,4.207852,0,4,1,20
3344919618,1557840483600236,-223533676,-486162304,499441,493745,0.19800001,0.6983771,0.505,0.71400005,0.57,0.74,119,12,0.177,-0.156,-0.083000004,-1.718,3.9402018,0,4,1,20
