timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3341136500,-0.0051481756,-0.013456593,0.0074242684,-0.8144679,-0.019464238,0.02472137,0.5793549,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341168478,-0.008097648,-0.015755689,-0.003287781,-0.8144666,-0.01942312,0.024726247,0.579358,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341200485,-0.010094758,-0.024234258,-0.01164564,-0.814379,-0.019384054,0.024731947,0.5794822,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341228677,-0.008266656,0.013645273,-0.013760849,-0.81428754,-0.01930766,0.024737671,0.57961303,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341260785,0.0018080955,0.0057419124,0.0016586551,-0.81427747,-0.019203493,0.024748115,0.57963,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341292677,0.010743985,0.021781951,0.008475181,-0.8143836,-0.019203627,0.024764849,0.57948023,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341324439,0.0016648048,0.009357463,0.00036455714,-0.814481,-0.01911296,0.02476877,0.57934606,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341356479,0.019584201,-0.019221334,-0.0005037294,-0.81455266,-0.019142741,0.024812724,0.57924265,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341388435,0.01784202,0.0038307225,0.010290971,-0.8146138,-0.019205907,0.024829827,0.5791537,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341420683,0.0104417,-0.007739585,-0.009035182,-0.8146088,-0.019145628,0.024824345,0.57916296,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341452683,-0.0129737,0.004359279,-0.0129204625,-0.8145619,-0.019114958,0.02481749,0.5792303,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341485241,-0.014907787,0.009872492,0.00017325243,-0.8144985,-0.019137524,0.024800116,0.5793193,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341517259,-0.0022674152,-0.010621419,0.008764572,-0.81447923,-0.019066846,0.024836607,0.5793474,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341549312,-1.8813414e-05,-0.004893943,0.012191361,-0.8145627,-0.019090956,0.024804654,0.57923055,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341577323,-0.0016379815,-0.013351735,0.0071492055,-0.81466514,-0.019042678,0.02480049,0.5790882,0.45652595,0.006792323,-0.00017384968,0.88968414,1
3341609344,0.0023060075,-0.010637998,0.0083012385,-0.8147116,-0.019081114,0.024818126,0.57902074,0.45652595,0.006792323,-0.00017384968,0.88968414,1
