timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
3341135992,3341135851,-0.023861496,0.010376679,-0.0021236048,0.0,0.0,0.0,0.0,-1.0
3341239993,3341239845,-0.023755066,0.011635045,0.0028644237,0.0,0.0,0.0,0.0,-1.0
3341340000,3341339850,-0.025947755,0.00688962,-0.0034619884,0.0,0.0,0.0,0.0,-1.0
3341444011,3341443868,-0.02390258,0.0057555293,0.0005570615,0.0,0.0,0.0,0.0,-1.0
3341545104,3341544683,-0.026063442,0.006427991,-0.0018059161,0.0,0.0,0.0,0.0,-1.0
3341644858,3341644651,-0.025809867,0.009925938,0.00032907343,0.0,0.0,0.0,0.0,-1.0
3341748806,3341748645,-0.026354184,0.008934528,0.00044113753,0.018343626,0.0,0.0,0.0,-1.0
3341848784,3341848652,-0.027444538,0.0057758037,-0.002599662,0.018319083,0.0,0.0,0.0,-1.0
3341948809,3341948652,-0.024804642,0.008806256,0.0013686637,0.018332586,0.0,0.0,0.0,-1.0
3342053587,3342053451,-0.023199163,0.010451114,-0.00047492905,0.018333329,0.0,0.0,0.0,-1.0
3342153582,3342153444,-0.025432639,0.009591159,0.0010782162,0.018333333,0.0,0.0,0.0,-1.0
3342253585,3342253452,-0.028352436,0.006112777,-0.0009356315,0.018333333,0.0,0.0,0.0,-1.0
3342357620,3342357444,-0.025993854,0.011521485,-0.001127088,0.018333333,0.0,0.0,0.0,-1.0
3342457609,3342457444,-0.025709651,0.008463248,-0.0014328302,0.018333333,0.0,0.0,0.0,-1.0
3342558418,3342558245,-0.026869088,0.0068085114,-0.0023334492,0.018333333,0.0,0.0,0.0,-1.0
3342662465,3342662323,-0.026485557,0.0072290497,2.6648167e-06,0.018333333,0.0,0.0,0.0,-1.0
3342766406,3342766271,-0.025087882,0.008680981,0.00035837624,0.018333333,0.0,0.0,0.0,-1.0
3342866381,3342866245,-0.023445768,0.012683654,3.751981e-05,0.018333333,0.0,0.0,0.0,-1.0
3342967193,3342967045,-0.021714037,0.002873288,7.478268e-05,0.018333333,0.0,0.0,0.0,-1.0
3343071225,3343071052,-0.024727844,0.0038925493,0.0024378276,0.1,0.0,0.0,0.0,-1.0
3343171188,3343171045,-0.01797852,0.010671154,-0.001793738,0.62728375,0.0,0.0,0.0,-1.0
3343271232,3343271050,0.014604533,0.045190707,-0.0060568512,0.4816042,0.0,0.0,0.0,-1.0
3343375986,3343375845,0.005722094,0.0549158,-0.017026644,0.42295027,0.0,0.0,0.0,-1.0
