timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
3341135851,-0.001357169,-0.014735399,0.008900773,4006,0,-0.9968911,-0.5249123,-10.055304,4006,-6785,0.16432106,0.12773035,-0.15371993,-2081,439.184,59.469997
3341239845,0.0070947413,0.008268922,-0.0032434494,3991,0,-0.25166523,-0.7286486,-9.316188,3991,-14646,0.16304035,0.12441369,-0.16032244,-14746,437.88147,59.46
3341339850,0.0044177948,0.01857561,0.008965079,4005,0,2.191733,-0.7819774,-10.343071,4005,-18766,0.16432106,0.12551925,-0.15636094,-2641,438.57578,59.469997
3341443868,-0.0122814495,-0.0022017444,-0.007189257,4023,0,1.5720819,-0.8663378,-10.545035,4023,-24785,0.16175966,0.1288359,-0.15239944,-5849,437.70856,59.469997
3341544683,0.013217069,0.008314384,0.011266869,4037,0,0.9218381,-1.979181,-10.546993,4037,-24682,0.16175966,0.12330814,-0.15504044,-2970,437.53433,59.46
3341644651,0.0028275405,0.024055123,-0.02043459,3973,0,0.1770744,0.53677565,-9.842389,3973,-1659,0.16432106,0.1288359,-0.15504044,-13928,438.4022,59.469997
3341748645,0.0041781203,0.01750646,-0.009338593,4000,0,1.5185418,-1.2014579,-9.749585,4000,-12593,0.16175966,0.12551925,-0.15504044,-2206,437.88147,59.46
3341848652,-0.021460937,0.015855193,-0.0030262717,4007,0,-0.82293564,-1.7450083,-13.069243,4007,-16304,0.15919825,0.1266248,-0.15504044,-4982,437.10043,59.469997
3341948652,0.04029185,-0.01974532,0.0024464766,4008,0,-1.6542912,-2.4645424,-9.432479,4008,-18139,0.16304035,0.1266248,-0.15636094,-4253,437.96826,59.46
3342053451,-0.0050469236,0.00033860374,-0.0062415693,3984,0,-0.88923675,0.6310741,-9.493651,3984,-9461,0.15663685,0.12994145,-0.15504044,-1850,437.88147,59.469997
3342153444,-0.0020717017,-0.0038107084,-0.005143071,3999,0,-1.3258392,-0.66091037,-9.924368,3999,-18920,0.16175966,0.12773035,-0.15504044,-454,437.3601,59.469997
3342253452,0.02365841,-0.002572968,0.012187152,4007,0,0.43954018,-2.231933,-9.969748,4007,-2074,0.16047895,0.1288359,-0.15371993,-10196,437.88147,59.469997
3342357444,0.005687285,-0.0039666006,0.0024269281,3999,0,-0.5589498,-0.95352614,-8.6658125,3999,-9345,0.16047895,0.12441369,-0.15504044,-14753,437.62177,59.469997
3342457444,0.014198812,-0.008712208,0.009858086,3951,0,0.24145697,-1.4570986,-10.134379,3951,-13473,0.15919825,0.1288359,-0.15371993,-2920,437.44754,59.469997
3342558245,0.014717826,0.0011319205,0.0062462026,3989,0,1.3137863,-0.82129425,-9.487519,3989,-21047,0.16175966,0.12773035,-0.15636094,-2922,437.70856,59.469997
3342662323,-0.0041004736,0.037661377,-0.0049654227,4079,0,1.4270496,-1.0233563,-11.586173,4079,-6050,0.16047895,0.1266248,-0.15636094,-8324,437.88147,59.46
3342766271,-0.002922792,0.004488425,-0.0040144697,3989,0,0.6301874,0.22966123,-9.124182,3989,-12806,0.16432106,0.1288359,-0.15371993,-270,438.4022,59.469997
3342866245,0.015639443,0.004496419,0.0056834086,3950,0,0.20691936,-0.2265693,-8.935469,3950,-14625,0.16047895,0.1288359,-0.15504044,-4243,437.70856,59.48
