timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
3366709207,45.517506,45.24003,41.672478,40.601765,4186.7764,0.7040528,1.026247,12,1,1,0,0
3367201973,45.190826,45.21382,45.487774,43.03134,4192.8843,0.7092602,1.0257733,12,1,1,0,0
3367706752,45.29972,45.225006,41.672478,42.179173,4198.727,0.73006195,1.0238851,12,1,1,0,0
3368211639,44.8097,45.17406,52.260662,46.488514,4205.5913,0.7435558,1.0226642,12,1,1,0,0
3368704303,44.3469,45.07604,46.936996,48.777973,4212.574,0.74428695,1.022598,12,1,1,0,0
3369210012,45.027485,45.069595,46.3159,47.645695,4219.168,0.7486209,1.0222065,12,1,1,0,0
3369714858,45.408615,45.100876,44.570923,46.310352,4225.5356,0.7538534,1.0217342,12,1,1,0,0
3370219935,44.864147,45.14274,38.714886,42.3085,4231.0967,0.7482127,1.0222434,12,1,1,0,0
3370712447,45.354168,45.151394,42.97382,41.913857,4236.7754,0.7410033,1.0228949,12,1,1,0,0
3371217205,45.05471,45.138973,39.395134,40.980846,4242.482,0.73314977,1.0236055,12,1,1,0,0
3371721788,45.272495,45.233738,36.28966,36.06243,4246.9824,0.72927374,1.0239565,12,1,1,0,0
3372226583,44.59191,45.249577,40.104954,37.05783,4252.259,0.7285054,1.0240263,12,1,1,0,0
3372719602,45.272495,45.250847,42.05697,39.26501,4257.842,0.7360295,1.0233449,12,1,1,0,0
3373224383,45.54473,45.240353,41.82036,40.89711,4263.7593,0.7327488,1.0236418,12,1,1,0,0
3373729173,45.54473,45.168392,45.10329,41.72088,4269.663,0.70510256,1.0261514,12,1,1,0,0
3374222080,45.05471,45.084263,49.184765,45.434715,4276.1147,0.6805288,1.0283926,12,1,1,0,0
3374727817,44.864147,45.058346,37.88676,45.397408,4282.5327,0.67611676,1.028796,12,1,1,0,0
3375232599,44.700806,45.14655,39.42471,39.721954,4287.4434,0.67106634,1.0292581,12,1,1,0,0
3375737091,44.755253,45.145493,43.506187,41.226486,4293.249,0.6628769,1.0300083,12,1,1,0,0
3376230194,45.326942,45.11447,46.96657,42.33532,4299.223,0.6653177,1.0297847,12,1,1,0,0
3376734743,45.408615,45.178154,40.755627,38.052937,4304.243,0.6702712,1.0293308,12,1,1,0,0
3377239490,44.973038,45.173275,39.247257,37.7372,4309.5205,0.65886074,1.0303768,12,1,1,0,0
3377732505,45.13638,45.19814,34.3968,37.22875,4314.5747,0.66153526,1.0301315,12,1,1,0,0
3378237142,45.435837,45.208294,39.513435,35.65684,4319.3984,0.65674525,1.0305709,12,1,1,0,0
3378741939,45.38139,45.21324,37.17694,35.73907,4324.4062,0.6549419,1.0307364,12,1,1,0,0
3379235477,44.918594,45.22412,36.437542,36.732777,4329.519,0.6616265,1.030123,12,1,1,0,0
3379740457,45.218052,45.104107,47.35106,45.386295,4337.075,0.6706185,1.029299,12,1,1,0,0
3380245202,45.13638,45.04425,47.70597,46.11037,4343.586,0.67181087,1.02919,12,1,1,0,0
3380738073,45.190826,44.98446,48.800278,46.759857,4350.0537,0.6654027,1.0297768,12,1,1,0,0
3381242781,45.190826,44.968143,43.71322,46.32954,4356.5166,0.66137326,1.0301462,12,1,1,0,0
3381747585,45.490284,45.008408,42.97382,45.128494,4362.737,0.66816604,1.0295237,12,1,1,0,0
3382240478,45.190826,45.01739,42.885094,44.626015,4368.7637,0.66846114,1.0294967,12,1,1,0,0
3382745217,45.190826,44.985085,43.683643,44.901684,4375.101,0.6625918,1.0300345,12,1,1,0,0
3383250053,45.027485,44.945976,43.56534,44.506977,4381.2954,0.6543313,1.0307925,12,1,1,0,0
3383742771,44.8097,44.958935,44.334312,43.996265,4387.263,0.65573615,1.0306635,12,1,1,0,0
3384248372,45.272495,44.968243,43.06255,43.257656,4393.285,0.65501714,1.0307295,12,1,1,0,0
3384753184,45.027485,44.973938,42.648487,43.001614,4399.2954,0.65164906,1.0310389,12,1,1,0,0
3385257999,45.490284,44.98448,35.43196,40.720383,4404.873,0.6517752,1.0310272,12,1,1,0,0
3385750716,44.755253,45.030815,38.65574,38.4914,4409.91,0.6582998,1.0304282,12,1,1,0,0
3386255601,44.40135,45.014027,45.36947,41.49181,4415.935,0.6623644,1.0300553,12,1,1,0,0
3386760269,45.354168,44.96869,46.877846,46.286488,4422.9614,0.68154424,1.0282997,12,1,1,0,0
3387253152,44.537464,44.966793,41.790783,45.67505,4429.1816,0.69684017,1.0269039,12,1,1,0,0
3387758060,45.190826,44.983498,37.472702,42.62363,4434.884,0.69862366,1.0267414,12,1,1,0,0
3388262824,45.05471,45.04123,36.881184,40.085224,4440.255,0.6997575,1.026638,12,1,1,0,0
3388755679,45.190826,45.007885,43.476612,40.059757,4445.716,0.6838206,1.0280918,12,1,1,0,0
3389261099,45.29972,45.035194,37.798035,38.318047,4450.9946,0.6806181,1.0283843,12,1,1,0,0
3389765887,45.735294,45.120014,31.734968,36.4903,4455.9795,0.6870855,1.0277936,12,1,1,0,0
3390258854,45.218052,45.080383,45.16244,38.613503,4461.381,0.678103,1.0286143,12,1,1,0,0
3390763541,44.83692,45.024986,48.889008,43.542377,4467.9907,0.6898332,1.0275428,12,1,1,0,0
3391268332,45.190826,44.958115,46.96657,46.4194,4474.8247,0.6985432,1.0267487,12,1,1,0,0
3391773212,44.83692,44.935135,46.46378,46.020706,4481.229,0.7038554,1.0262649,12,1,1,0,0
3392265788,45.027485,44.936123,41.25842,43.693024,4486.9673,0.70097643,1.026527,12,1,1,0,0
