timestamp,instance_count,seq_reached,item_changed_index,item_do_jump_remaining,app_param,seq_current,seq_total,valid,warning,finished,failure,read_complete,stay_in_failsafe,flight_termination,item_do_jump_changed
3205812835,10,-1,0,0,0.0,0,9,1,0,0,0,0,0,0,0
3343060538,10,-1,0,0,0.0,0,9,1,0,0,0,1,0,0,0
3343077638,10,-1,0,0,20.0,0,9,1,0,0,0,1,0,0,0
3343109250,10,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
3355083198,10,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
3367093379,10,0,0,0,200.0,1,9,1,0,0,0,0,0,0,0
3384908319,10,1,0,0,20.0,2,9,1,0,0,0,0,0,0,0
3389049881,10,2,0,0,200.0,3,9,1,0,0,0,0,0,0,0
3405793385,10,3,0,0,20.0,4,9,1,0,0,0,0,0,0,0
3410429369,10,4,0,0,200.0,5,9,1,0,0,0,0,0,0,0
3426905374,10,5,0,0,20.0,6,9,1,0,0,0,0,0,0,0
3431495908,10,6,0,0,200.0,7,9,1,0,0,0,0,0,0,0
3448037929,10,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
3448066583,10,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
3484296807,11,-1,0,0,0.0,8,9,1,0,0,0,0,0,0,0
