timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
1438862180,4.85332,0.0,0,0,1,0,0,0,0
1439362180,4.851709,0.0,0,0,1,0,0,0,0
1439862180,4.837207,0.0,0,0,1,0,0,0,0
1440872180,4.8484864,0.0,0,0,1,0,0,0,0
1441372181,4.8452635,0.0,0,0,1,0,0,0,0
1441872180,4.8645997,0.0,0,0,1,0,0,0,0
1442372200,4.8645997,0.0,0,0,1,0,0,0,0
1442872216,4.862988,0.0,0,0,1,0,0,0,0
1443372180,4.8581543,0.0,0,0,1,0,0,0,0
1443882180,4.9580564,0.0,0,0,1,0,0,0,0
1444382180,4.911328,0.0,0,0,1,0,0,0,0
1444882180,4.9596677,0.0,0,0,1,0,0,0,0
1445382182,4.941943,0.0,0,0,1,0,0,0,0
1445882226,4.862988,0.0,0,0,1,0,0,0,0
1446382218,4.9338865,0.0,0,0,1,0,0,0,0
1446882180,4.8710446,0.0,0,0,1,0,0,0,0
1447382180,4.867822,0.0,0,0,1,0,0,0,0
1447892212,4.8726563,0.0,0,0,1,0,0,0,0
1448392180,4.861377,0.0,0,0,1,0,0,0,0
1448892180,4.8645997,0.0,0,0,1,0,0,0,0
1449392181,4.8597655,0.0,0,0,1,0,0,0,0
1449892180,4.85332,0.0,0,0,1,0,0,0,0
1450392180,4.940332,0.0,0,0,1,0,0,0,0
1450902180,4.856543,0.0,0,0,1,0,0,0,0
1451402264,4.951611,0.0,0,0,1,0,0,0,0
1451902180,4.9322753,0.0,0,0,1,0,0,0,0
1452402180,4.927441,0.0,0,0,1,0,0,0,0
1452902225,4.8468747,0.0,0,0,1,0,0,0,0
1453402180,4.9435544,0.0,0,0,1,0,0,0,0
1453902180,4.8597655,0.0,0,0,1,0,0,0,0
1454412180,4.940332,0.0,0,0,1,0,0,0,0
1454912180,4.882324,0.0,0,0,1,0,0,0,0
1455412228,4.8645997,0.0,0,0,1,0,0,0,0
1455912194,4.951611,0.0,0,0,1,0,0,0,0
1456422180,4.8597655,0.0,0,0,1,0,0,0,0
1456922223,4.940332,0.0,0,0,1,0,0,0,0
1457422180,4.9596677,0.0,0,0,1,0,0,0,0
1457922228,4.867822,0.0,0,0,1,0,0,0,0
1458422180,4.8597655,0.0,0,0,1,0,0,0,0
1458922180,4.945166,0.0,0,0,1,0,0,0,0
1459432180,4.8645997,0.0,0,0,1,0,0,0,0
1459932180,4.9532228,0.0,0,0,1,0,0,0,0
1460442180,4.9628906,0.0,0,0,1,0,0,0,0
1460932180,4.954834,0.0,0,0,1,0,0,0,0
1461442228,4.951611,0.0,0,0,1,0,0,0,0
1461942197,4.954834,0.0,0,0,1,0,0,0,0
1462442180,4.951611,0.0,0,0,1,0,0,0,0
1462942201,4.9483886,0.0,0,0,1,0,0,0,0
1463442180,4.8597655,0.0,0,0,1,0,0,0,0
1463942180,4.85332,0.0,0,0,1,0,0,0,0
1464442223,4.9532228,0.0,0,0,1,0,0,0,0
1464952184,4.8645997,0.0,0,0,1,0,0,0,0
1465452208,4.9612794,0.0,0,0,1,0,0,0,0
1465952183,4.8645997,0.0,0,0,1,0,0,0,0
1466452228,4.862988,0.0,0,0,1,0,0,0,0
1466952180,4.9435544,0.0,0,0,1,0,0,0,0
1467462180,4.954834,0.0,0,0,1,0,0,0,0
1467962180,4.9467773,0.0,0,0,1,0,0,0,0
1468462180,4.92583,0.0,0,0,1,0,0,0,0
1468962180,4.945166,0.0,0,0,1,0,0,0,0
1469462210,4.9483886,0.0,0,0,1,0,0,0,0
1469962185,4.9371095,0.0,0,0,1,0,0,0,0
1470462180,4.954834,0.0,0,0,1,0,0,0,0
1470962180,4.9322753,0.0,0,0,1,0,0,0,0
1471462239,4.9628906,0.0,0,0,1,0,0,0,0
1471972189,4.8549314,0.0,0,0,1,0,0,0,0
1472472180,4.954834,0.0,0,0,1,0,0,0,0
1472972180,4.9580564,0.0,0,0,1,0,0,0,0
1473472213,4.8694334,0.0,0,0,1,0,0,0,0
1473972180,4.8549314,0.0,0,0,1,0,0,0,0
1474472180,4.9483886,0.0,0,0,1,0,0,0,0
1474982180,4.85332,0.0,0,0,1,0,0,0,0
1475482180,4.9532228,0.0,0,0,1,0,0,0,0
1475982180,4.920996,0.0,0,0,1,0,0,0,0
1476482181,4.85332,0.0,0,0,1,0,0,0,0
1476982180,4.940332,0.0,0,0,1,0,0,0,0
1477482180,4.956445,0.0,0,0,1,0,0,0,0
1477982231,4.9580564,0.0,0,0,1,0,0,0,0
1478482180,4.956445,0.0,0,0,1,0,0,0,0
1478992180,4.856543,0.0,0,0,1,0,0,0,0
1479492191,4.9435544,0.0,0,0,1,0,0,0,0
1479992180,4.9467773,0.0,0,0,1,0,0,0,0
1480492180,4.867822,0.0,0,0,1,0,0,0,0
1481002180,4.9483886,0.0,0,0,1,0,0,0,0
1481502214,4.941943,0.0,0,0,1,0,0,0,0
1482002182,4.8597655,0.0,0,0,1,0,0,0,0
1482502213,4.954834,0.0,0,0,1,0,0,0,0
1483002180,4.9435544,0.0,0,0,1,0,0,0,0
1483512180,4.954834,0.0,0,0,1,0,0,0,0
1484012180,4.95,0.0,0,0,1,0,0,0,0
1484512180,4.9532228,0.0,0,0,1,0,0,0,0
1485012180,4.861377,0.0,0,0,1,0,0,0,0
1485522180,4.954834,0.0,0,0,1,0,0,0,0
1486022180,4.862988,0.0,0,0,1,0,0,0,0
1486522186,4.9532228,0.0,0,0,1,0,0,0,0
1487022180,4.9467773,0.0,0,0,1,0,0,0,0
1487522200,4.8549314,0.0,0,0,1,0,0,0,0
1488022180,4.945166,0.0,0,0,1,0,0,0,0
1488532180,4.9467773,0.0,0,0,1,0,0,0,0
1489032180,4.8645997,0.0,0,0,1,0,0,0,0
1489532180,4.9435544,0.0,0,0,1,0,0,0,0
1490032180,4.941943,0.0,0,0,1,0,0,0,0
1490532180,4.8484864,0.0,0,0,1,0,0,0,0
1491032180,4.9612794,0.0,0,0,1,0,0,0,0
1491542191,4.9467773,0.0,0,0,1,0,0,0,0
1492042180,4.940332,0.0,0,0,1,0,0,0,0
1492542180,4.9354978,0.0,0,0,1,0,0,0,0
1493042180,4.9580564,0.0,0,0,1,0,0,0,0
1493542180,4.940332,0.0,0,0,1,0,0,0,0
1494052186,4.941943,0.0,0,0,1,0,0,0,0
1494552180,4.9242187,0.0,0,0,1,0,0,0,0
1495052215,4.956445,0.0,0,0,1,0,0,0,0
1495552180,4.9387207,0.0,0,0,1,0,0,0,0
1496052180,4.856543,0.0,0,0,1,0,0,0,0
1496552228,4.9483886,0.0,0,0,1,0,0,0,0
1497062214,4.9483886,0.0,0,0,1,0,0,0,0
1497562180,4.8645997,0.0,0,0,1,0,0,0,0
1498062180,4.9322753,0.0,0,0,1,0,0,0,0
1498562182,4.941943,0.0,0,0,1,0,0,0,0
1499062188,4.8581543,0.0,0,0,1,0,0,0,0
1499572180,4.9467773,0.0,0,0,1,0,0,0,0
1500072229,4.8549314,0.0,0,0,1,0,0,0,0
1500572180,4.9387207,0.0,0,0,1,0,0,0,0
1501072180,4.951611,0.0,0,0,1,0,0,0,0
1501572180,4.8597655,0.0,0,0,1,0,0,0,0
1502072180,4.9532228,0.0,0,0,1,0,0,0,0
1502572180,4.916162,0.0,0,0,1,0,0,0,0
1503072180,4.8549314,0.0,0,0,1,0,0,0,0
1503572183,4.9483886,0.0,0,0,1,0,0,0,0
1504072180,4.95,0.0,0,0,1,0,0,0,0
1504582180,4.8484864,0.0,0,0,1,0,0,0,0
1505082228,4.9612794,0.0,0,0,1,0,0,0,0
1505582210,4.945166,0.0,0,0,1,0,0,0,0
1506082180,4.9628906,0.0,0,0,1,0,0,0,0
1506582193,4.9371095,0.0,0,0,1,0,0,0,0
1507082180,4.9483886,0.0,0,0,1,0,0,0,0
1507592180,4.945166,0.0,0,0,1,0,0,0,0
1508092180,4.941943,0.0,0,0,1,0,0,0,0
1508592180,4.951611,0.0,0,0,1,0,0,0,0
1509092180,4.862988,0.0,0,0,1,0,0,0,0
1509592224,4.956445,0.0,0,0,1,0,0,0,0
1510092224,4.9612794,0.0,0,0,1,0,0,0,0
1510592180,4.862988,0.0,0,0,1,0,0,0,0
1511092180,4.9467773,0.0,0,0,1,0,0,0,0
1511602180,4.856543,0.0,0,0,1,0,0,0,0
1512102190,4.8726563,0.0,0,0,1,0,0,0,0
1512602180,4.9628906,0.0,0,0,1,0,0,0,0
1513102180,4.866211,0.0,0,0,1,0,0,0,0
1513602180,4.954834,0.0,0,0,1,0,0,0,0
