timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1438866391,-0.0,0.0,-0.99229115,0.0,0.879424,0.0,0.0,-0.4760394,0.0,-1.0,1,0,0,0,0,0,0
1438968497,-0.0,0.0,-0.9925047,0.0,0.87937313,0.0,0.0,-0.47613332,0.0,-1.0,1,0,0,0,0,0,0
1439066536,-0.0,0.0,-0.99263954,0.0,0.879341,0.0,0.0,-0.4761926,0.0,-1.0,1,0,0,0,0,0,0
1439171732,-0.0,0.0,-0.99298286,0.0,0.8792592,0.0,0.0,-0.47634354,0.0,-1.0,1,0,0,0,0,0,0
1439276053,-0.0,0.0,-0.99274033,0.0,0.87931705,0.0,0.0,-0.4762369,0.0,-1.0,1,0,0,0,0,0,0
1439375313,-0.0,0.0,-0.99263334,0.0,0.8793425,0.0,0.0,-0.47618988,0.0,-1.0,1,0,0,0,0,0,0
1439476736,-0.0,0.0,-0.99307454,0.0,0.8792374,0.0,0.0,-0.47638384,0.0,-1.0,1,0,0,0,0,0,0
1439580586,-0.0,0.0,-0.9926053,0.0,0.8793492,0.0,0.0,-0.47617754,0.0,-1.0,1,0,0,0,0,0,0
1439680104,-0.0,0.0,-0.9924895,0.0,0.87937677,0.0,0.0,-0.47612664,0.0,-1.0,1,0,0,0,0,0,0
1439781069,-0.0,0.0,-0.9927647,0.0,0.87931126,0.0,0.0,-0.47624764,0.0,-1.0,1,0,0,0,0,0,0
1439885524,-0.0,0.0,-0.99224037,0.0,0.879436,0.0,0.0,-0.4760171,0.0,-1.0,1,0,0,0,0,0,0
1439984885,-0.0,0.0,-0.99271286,0.0,0.87932354,0.0,0.0,-0.47622484,0.0,-1.0,1,0,0,0,0,0,0
1440086750,-0.0,0.0,-0.9922704,0.0,0.87942886,0.0,0.0,-0.4760303,0.0,-1.0,1,0,0,0,0,0,0
1440191047,-0.0,0.0,-0.99173504,0.0,0.8795563,0.0,0.0,-0.47579485,0.0,-1.0,1,0,0,0,0,0,0
1440903355,-0.0,-0.0,-0.9923487,0.0,0.87941027,-0.0,0.0,-0.47606474,0.1,-1.0,1,0,0,0,0,0,0
1441004343,0.0012167877,0.0011850665,-0.99227345,0.0,0.8794277,0.000817103,0.0002314757,-0.47603175,0.6389774,-1.0,1,0,0,0,0,0,0
1441109171,-0.009733144,0.0033602885,-0.99227345,0.0,0.8794204,-0.0034799858,0.003794178,-0.47601813,0.4903852,-1.0,1,0,0,0,0,0,0
1441207586,-0.015004907,0.013100015,-0.99227345,0.0,0.87940794,-0.003479765,0.009331353,-0.4759648,0.37882978,-1.0,1,0,0,0,0,0,0
1441312850,-0.017962815,0.023545485,-0.99227345,0.0,0.8793821,-0.0022940068,0.014627704,-0.4758865,0.41253358,-1.0,1,0,0,0,0,0,0
1441413229,-0.019744907,0.02691986,-0.99227345,0.0,0.8793689,-0.0022743398,0.016535206,-0.47584844,0.40509012,-1.0,1,0,0,0,0,0,0
1441517279,-0.015118468,0.032467905,-0.99227345,0.0,0.8793456,0.0010804513,0.017873487,-0.47584733,0.4047359,-1.0,1,0,0,0,0,0,0
1441621974,-0.0056828684,0.026645815,-0.99227345,0.0,0.87936455,0.0038433005,0.013068638,-0.47595423,0.39883748,-1.0,1,0,0,0,0,0,0
1441725633,-0.0010324289,0.025045443,-0.99227345,0.0,0.87936217,0.0055071167,0.011258259,-0.47598854,0.39042404,-1.0,1,0,0,0,0,0,0
1441825289,0.011702304,0.020563236,-0.99227345,0.0,0.879338,0.010039571,0.0062564593,-0.47605118,0.3678099,-1.0,1,0,0,0,0,0,0
1441929211,0.021551175,0.017061433,-0.99227345,0.0,0.87930137,0.013536434,0.0023723915,-0.4760675,0.35373878,-1.0,1,0,0,0,0,0,0
1442030756,0.037336435,0.009051815,-0.99227345,0.0,0.87922573,0.018570328,-0.004906553,-0.47601813,0.3395111,-1.0,1,0,0,0,0,0,0
1442129939,0.03792128,0.004163275,-0.99227345,0.0,0.8792494,0.017664231,-0.007194983,-0.47597975,0.33719197,-1.0,1,0,0,0,0,0,0
1442231327,0.054216996,-0.009287866,-0.99227345,0.0,0.8791555,0.02162696,-0.016985273,-0.47574094,0.32978973,-1.0,1,0,0,0,0,0,0
1442334747,0.058947783,-0.010851601,-0.99227345,0.0,0.8791094,0.023334317,-0.018797772,-0.47567722,0.32231137,-1.0,1,0,0,0,0,0,0
1442434720,0.06910487,-0.020529864,-0.99227345,0.0,0.87902576,0.025495311,-0.025465637,-0.47541055,0.3150921,-1.0,1,0,0,0,0,0,0
1442535662,0.07223308,-0.019832224,-0.99227345,0.0,0.8789819,0.027036209,-0.025902709,-0.47538292,0.3117735,-1.0,1,0,0,0,0,0,0
1442639345,0.07133131,-0.022317277,-0.99227345,0.0,0.8790036,0.026048401,-0.0267801,-0.47534934,0.30729118,-1.0,1,0,0,0,0,0,0
1442740624,0.073220946,-0.023716468,-0.99227345,0.0,0.8789837,0.026545847,-0.027843857,-0.47529748,0.30185893,-1.0,1,0,0,0,0,0,0
1442839774,0.07523317,-0.028404934,-0.99227345,0.0,0.87897164,0.026314132,-0.030381449,-0.4751772,0.29915804,-1.0,1,0,0,0,0,0,0
1442943682,0.06689602,-0.022017922,-0.99227345,0.0,0.87905824,0.024170281,-0.02559436,-0.47541282,0.3001438,-1.0,1,0,0,0,0,0,0
1443044342,0.064807214,-0.02389704,-0.99227345,0.0,0.879088,0.022804871,-0.02592344,-0.47540736,0.29766113,-1.0,1,0,0,0,0,0,0
1443144498,0.0569017,-0.023926515,-0.99227345,0.0,0.8791713,0.019322867,-0.024057025,-0.47550565,0.30172142,-1.0,1,0,0,0,0,0,0
1443249129,0.050778452,-0.020387542,-0.99227345,0.0,0.8792223,0.017473532,-0.021045793,-0.47562584,0.29719886,-1.0,1,0,0,0,0,0,0
1443349495,0.05009775,-0.021133237,-0.99227345,0.0,0.8792292,0.01699678,-0.021211637,-0.47562295,0.29630065,-1.0,1,0,0,0,0,0,0
1443449365,0.04480027,-0.017060312,-0.99227345,0.0,0.8792665,0.015637388,-0.018161576,-0.4757268,0.29774812,-1.0,1,0,0,0,0,0,0
1443553292,0.038044307,-0.014897196,-0.99227345,0.0,0.8793121,0.0131820515,-0.015603611,-0.4758077,0.30458665,-1.0,1,0,0,0,0,0,0
1443653922,0.036258508,-0.015500614,-0.99227345,0.0,0.8793241,0.01225328,-0.015444019,-0.47581556,0.30379337,-1.0,1,0,0,0,0,0,0
1443753210,0.033550844,-0.015065454,-0.99227345,0.0,0.87933964,0.011166391,-0.0146085275,-0.47584006,0.30685183,-1.0,1,0,0,0,0,0,0
1443858362,0.03376548,-0.006051559,-0.99227345,0.0,0.8793232,0.013406224,-0.010696871,-0.47591662,0.3029104,-1.0,1,0,0,0,0,0,0
1443958849,0.03684147,-0.0073161973,-0.99227345,0.0,0.8793052,0.01445762,-0.01198478,-0.4758884,0.30177015,-1.0,1,0,0,0,0,0,0
1444058863,0.04025845,-0.008428171,-0.99227345,0.0,0.87928253,0.01569523,-0.013286639,-0.47585636,0.30009568,-1.0,1,0,0,0,0,0,0
1444161888,0.037451256,-0.00585391,-0.99227345,0.0,0.8792963,0.015073735,-0.011487024,-0.4758979,0.30634883,-1.0,1,0,0,0,0,0,0
1444262971,0.038401812,-0.008493727,-0.99227345,0.0,0.87929696,0.0148633635,-0.0128737055,-0.4758679,0.31029388,-1.0,1,0,0,0,0,0,0
1444364304,0.04060695,-0.011000185,-0.99227345,0.0,0.87928677,0.015236285,-0.0145002,-0.4758281,0.31073433,-1.0,1,0,0,0,0,0,0
1444467232,0.044360735,-0.00305629,-0.99227345,0.0,0.879227,0.01877715,-0.01190124,-0.47588417,0.3055871,-1.0,1,0,0,0,0,0,0
1444567603,0.051325463,-0.0060024266,-0.99227345,0.0,0.8791713,0.021137748,-0.014853353,-0.47580498,0.3046993,-1.0,1,0,0,0,0,0,0
1444668185,0.04991173,-0.00956311,-0.99227345,0.0,0.87920105,0.019668907,-0.01608212,-0.475773,0.30748853,-1.0,1,0,0,0,0,0,0
1444772943,0.04590082,-0.0067358515,-0.99227345,0.0,0.87922835,0.01857854,-0.013885165,-0.47583556,0.31295872,-1.0,1,0,0,0,0,0,0
1444876377,0.055723388,-0.007767946,-0.99227345,0.0,0.87913173,0.022650832,-0.016675571,-0.47574815,0.30832046,-1.0,1,0,0,0,0,0,0
1444981440,0.047973737,-0.007455461,-0.99227345,0.0,0.87921166,0.019318553,-0.014694653,-0.4758127,0.31369233,-1.0,1,0,0,0,0,0,0
1445081238,0.05330632,-0.01193149,-0.99227345,0.0,0.87917584,0.020597491,-0.017930571,-0.47571427,0.3081755,-1.0,1,0,0,0,0,0,0
1445185619,0.04977034,-0.0025107183,-0.99227345,0.0,0.87917006,0.021285037,-0.01294855,-0.4758564,0.31720826,-1.0,1,0,0,0,0,0,0
1445286285,0.04770184,-0.0069650086,-0.99227345,0.0,0.87921226,0.019315748,-0.014414382,-0.4758203,0.3179514,-1.0,1,0,0,0,0,0,0
1445389710,0.055754807,-0.007228339,-0.99227345,0.0,0.87912863,0.022793053,-0.01644588,-0.47575495,0.31285125,-1.0,1,0,0,0,0,0,0
1445489308,0.051361665,-0.00088610867,-0.99227345,0.0,0.87914354,0.022371126,-0.01261305,-0.47586462,0.31670728,-1.0,1,0,0,0,0,0,0
1445594045,0.049978472,-0.011506311,-0.99227345,0.0,0.87920743,0.019235775,-0.01695211,-0.47574872,0.31424096,-1.0,1,0,0,0,0,0,0
1445694769,0.04989161,-0.008694578,-0.99227345,0.0,0.87919784,0.019866765,-0.015695576,-0.47578362,0.31741098,-1.0,1,0,0,0,0,0,0
1445794031,0.04884811,-0.0071117785,-0.99227345,0.0,0.87920165,0.019784724,-0.014751603,-0.47581023,0.3182758,-1.0,1,0,0,0,0,0,0
1445895964,0.047836848,-0.010042012,-0.99227345,0.0,0.8792227,0.018642802,-0.01579903,-0.47578388,0.32090443,-1.0,1,0,0,0,0,0,0
1445998837,0.050176848,-0.011145163,-0.99227345,0.0,0.87920433,0.019408934,-0.016840562,-0.4757515,0.3185533,-1.0,1,0,0,0,0,0,0
1446099267,0.04668287,-0.01492231,-0.99227345,0.0,0.879247,0.016973937,-0.017669646,-0.47573557,0.3229091,-1.0,1,0,0,0,0,0,0
1446203381,0.050081413,-0.009411385,-0.99227345,0.0,0.87919885,0.01977961,-0.016055794,-0.47577345,0.31656095,-1.0,1,0,0,0,0,0,0
1446308459,0.046082202,-0.013917188,-0.99227345,0.0,0.87924975,0.016949108,-0.017084967,-0.47575277,0.32355213,-1.0,1,0,0,0,0,0,0
1446412064,0.053723175,-0.0150722265,-0.99227345,0.0,0.87918234,0.020033227,-0.019410081,-0.4756684,0.31591102,-1.0,1,0,0,0,0,0,0
1446511674,0.047183834,-0.014812176,-0.99227345,0.0,0.8792425,0.017220385,-0.0177404,-0.47573254,0.32489386,-1.0,1,0,0,0,0,0,0
1446615566,0.051491346,-0.012676371,-0.99227345,0.0,0.8791967,0.01962236,-0.017826248,-0.47572082,0.3184966,-1.0,1,0,0,0,0,0,0
1446717277,0.053071547,-0.014045648,-0.99227345,0.0,0.87918556,0.019991111,-0.018803919,-0.47568846,0.31998906,-1.0,1,0,0,0,0,0,0
1446816398,0.043173127,-0.008438631,-0.99227345,0.0,0.8792588,0.016974136,-0.013984707,-0.4758364,0.32707354,-1.0,1,0,0,0,0,0,0
1446920369,0.051504735,-0.015195889,-0.99227345,0.0,0.87920433,0.019028572,-0.0189368,-0.47568798,0.3122648,-1.0,1,0,0,0,0,0,0
1447021247,0.047623564,-0.00598538,-0.99227345,0.0,0.87920886,0.01951447,-0.013965146,-0.47583187,0.317531,-1.0,1,0,0,0,0,0,0
1447121287,0.039748438,-0.013818888,-0.99227345,0.0,0.87929887,0.014187943,-0.01553502,-0.47580552,0.33045107,-1.0,1,0,0,0,0,0,0
1447225489,0.044078466,-0.0058121784,-0.99227345,0.0,0.87924135,0.01799722,-0.013045551,-0.47585765,0.31521565,-1.0,1,0,0,0,0,0,0
1447325705,0.039940543,-0.012952092,-0.99227345,0.0,0.8792959,0.014478718,-0.015199691,-0.475813,0.32239312,-1.0,1,0,0,0,0,0,0
1447425152,0.032824755,-0.013391464,-0.99227345,0.0,0.8793423,0.011245607,-0.013699862,-0.47586018,0.32505333,-1.0,1,0,0,0,0,0,0
1447525955,0.03635989,-0.0106044635,-0.99227345,0.0,0.8793164,0.013463248,-0.013315769,-0.47586152,0.31528264,-1.0,1,0,0,0,0,0,0
1447630003,0.028355638,-0.012238184,-0.99227345,0.0,0.87936467,0.009555151,-0.012129465,-0.47589856,0.32749498,-1.0,1,0,0,0,0,0,0
