timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
1442433445,0.10283293,-0.08580742,0.061635375,4001,0,-0.4025809,-1.0903181,-9.596147,4001,-25268,0.20786498,0.1000915,-0.15107894,-4336,439.27145,55.469997
1442533453,0.13599516,-0.10457812,0.044362385,4008,0,1.0423613,-0.6683131,-8.928609,4008,-5431,0.20914568,0.095669284,-0.15371993,-9435,439.0972,55.48
1442637474,0.11596855,-0.08283165,0.012311032,4029,0,1.7725823,1.2941717,-9.578541,4029,-16175,0.20658427,0.09456373,-0.15900195,-5350,439.5312,55.48
1442738247,0.11991267,-0.096941434,0.021566719,3987,0,-0.030833788,-0.66701883,-10.08887,3987,-16230,0.20402285,0.09235262,-0.16164294,-8144,439.87973,55.48
1442838244,0.095146626,-0.081322975,0.020747948,3988,0,-2.1713367,-1.7470149,-10.158235,3988,-14467,0.20274216,0.08903596,-0.16560447,-1406,439.96585,55.48
1442942308,0.060864408,-0.051459346,-0.0029122687,4049,0,1.8824872,0.28947592,-8.959037,4049,-22019,0.19890004,0.08903596,-0.16296345,-6357,439.87973,55.48
1443042289,0.022088237,-0.048927587,-0.0089681465,4044,0,-0.41829994,-0.48910183,-9.545892,4044,-2412,0.20018075,0.08903596,-0.16956598,-9360,439.87973,55.48
1443143065,-0.03279886,-0.014914369,-0.0068301684,4014,0,-0.0022467948,0.93549734,-9.062353,4014,-9089,0.19890004,0.091247074,-0.16428395,-22075,439.4444,55.469997
1443247045,-0.029294798,0.010401587,-0.006649886,3990,0,0.44364223,-1.0964518,-10.017571,3990,-21055,0.19890004,0.08903596,-0.16692497,-6141,440.40054,55.489998
1443347051,-0.05918298,0.029960975,-0.0213898,4006,0,-0.7142384,-2.8864086,-10.13812,4006,-2605,0.20018075,0.09235262,-0.16692497,-5762,440.5735,55.489998
1443447851,-0.06138693,0.045618277,-0.031799946,4002,0,1.0786523,-1.5393674,-9.422166,4002,-9842,0.20402285,0.09235262,-0.16296345,-20831,440.22626,55.489998
1443551845,-0.06497022,0.021708906,-0.012751018,3977,0,-1.0389739,-0.56952715,-8.125153,3977,-14575,0.20146145,0.09788039,-0.16032244,-1929,441.09503,55.48
1443651845,-0.06183738,0.021975648,-0.021016851,3994,0,-2.1737158,-0.25807062,-8.201525,3994,-16855,0.20530356,0.09456373,-0.16428395,-6226,441.35547,55.48
1443751849,-0.059306927,0.021624288,-0.031773806,3998,0,-2.0868273,0.59324163,-8.190198,3998,-13811,0.20146145,0.09898595,-0.16296345,-9695,441.35547,55.48
1443856651,-0.030946251,0.046347193,-0.03087327,4006,0,2.0844915,-1.5525522,-10.243521,4006,-22486,0.20402285,0.09898595,-0.16164294,-6221,441.18182,55.48
1443956651,-0.021390669,0.021493027,-0.018578352,4006,0,0.25900462,-2.6504989,-10.763375,4006,-2628,0.20146145,0.09677484,-0.15900195,-9377,441.44293,55.48
1444056651,-0.01618934,0.032406252,-0.026205458,3999,0,-0.57671005,-2.9424274,-11.014696,3999,-6313,0.20146145,0.1000915,-0.15900195,-8576,441.09503,55.48
1444160682,-0.022380305,0.017148875,-0.024828168,4037,0,0.77988183,1.1340239,-8.336626,4037,-14657,0.19890004,0.10119706,-0.15768144,-22299,441.26865,55.489998
1444261493,-0.0087649925,0.0036978289,-0.011271664,4048,0,-1.4160194,0.8461105,-8.620281,4048,-17591,0.20786498,0.1000915,-0.15900195,-1601,440.4867,55.489998
1444361444,-0.0061016288,0.01085582,-0.015124459,3992,0,-2.790352,0.2940295,-9.104956,3992,-24345,0.20402285,0.1023026,-0.15371993,-374,441.87637,55.489998
1444465445,0.02954955,0.039537635,-0.02802576,4000,0,2.8570206,-1.2944441,-10.565514,4000,-8246,0.20530356,0.1000915,-0.15900195,-18627,441.96384,55.489998
1444566244,0.032247525,-0.0024212685,-0.0035273964,4799,0,-0.032807466,-2.4390402,-10.15703,4799,-7334,0.20274216,0.10451372,-0.15504044,-242,441.78955,55.489998
1444666244,0.005258753,-0.0216984,-0.008596259,3962,0,-2.3364189,0.49168858,-8.969751,3962,-12608,0.20530356,0.1000915,-0.15900195,-6144,442.05066,55.489998
1444770245,0.04798265,0.024429737,-0.019060086,3975,0,1.1733063,-0.7083407,-9.534202,3975,-16150,0.20274216,0.10119706,-0.15900195,-10634,441.70273,55.489998
