timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
1438654500,1438654500,167686007,0,0,1,205,206,63,45,94,51,68
1439594056,1439594056,167686007,0,0,1,205,206,63,45,94,51,68
1441670408,1441670408,167686007,0,0,1,205,206,63,45,94,51,68
1442592383,1442592383,167686007,0,0,1,205,206,63,45,94,51,68
1443747077,1443747077,167686007,0,0,1,205,206,63,45,94,51,68
1444669657,1444669657,167686007,0,0,1,205,206,63,45,94,51,68
1445592051,1445592051,167686007,0,0,1,205,206,63,45,94,51,68
1446746051,1446746051,167686007,0,0,1,205,206,63,45,94,51,68
1447671180,1447671180,167686007,0,0,1,205,206,63,45,94,51,68
1448594070,1448594070,167686007,0,0,1,205,206,63,45,94,51,68
1449744479,1449744479,167686007,0,0,1,205,206,63,45,94,51,68
1450666015,1450666015,167686007,0,0,1,205,206,63,45,94,51,68
1451587568,1451587568,167686007,0,0,1,205,206,63,45,94,51,68
1452651072,1452651072,167686007,0,0,1,205,206,63,45,94,51,68
1453664740,1453664740,167686007,0,0,1,205,206,63,45,94,51,68
1454585709,1454585709,167686007,0,0,1,205,206,63,45,94,51,68
1455637132,1455637132,167686007,0,0,1,205,206,63,45,94,51,68
1456656019,1456656019,167686007,0,0,1,205,206,63,45,94,51,68
1457579721,1457579721,167686007,0,0,1,205,206,63,45,94,51,68
1458676096,1458676096,167686007,0,0,1,205,206,63,45,94,51,68
1459648704,1459648704,167686007,0,0,1,205,206,63,45,94,51,68
1460575486,1460575486,167686007,0,0,1,205,206,63,45,94,51,68
1461633213,1461633213,167686007,0,0,1,205,206,63,45,94,51,68
1462648087,1462648087,167686007,0,0,1,205,206,63,45,94,51,68
1463569637,1463569637,167686007,0,0,1,205,206,63,45,94,51,68
1464633082,1464633082,167686007,0,0,1,205,206,63,45,94,51,68
1465647099,1465647099,167686007,0,0,1,205,206,63,45,94,51,68
1466720175,1466720175,167686007,0,0,1,205,206,63,45,94,51,68
1467606693,1467606693,167686007,0,0,1,205,206,63,45,94,51,68
1468632046,1468632046,167686007,0,0,1,205,206,63,45,94,51,68
1469756012,1469756012,167686007,0,0,1,205,206,63,45,94,51,68
1470621779,1470621779,167686007,0,0,1,205,206,63,45,94,51,68
1471632025,1471632025,167686007,0,0,1,205,206,63,45,94,51,68
1472709505,1472709505,167686007,0,0,1,205,206,63,45,94,51,68
1473609087,1473609087,167686007,0,0,1,205,206,63,45,94,51,68
1474630460,1474630460,167686007,0,0,1,205,206,63,45,94,51,68
1475689087,1475689087,167686007,0,0,1,205,206,63,45,94,51,68
1476598043,1476598043,167686007,0,0,1,205,206,63,45,94,51,68
1477624101,1477624101,167686007,0,0,1,205,206,63,45,94,51,68
1478720096,1478720096,167686007,0,0,1,205,206,63,45,94,51,68
1479620478,1479620478,167686007,0,0,1,205,206,63,45,94,51,68
1480611387,1480611387,167686007,0,0,1,205,206,63,45,94,51,68
1481670051,1481670051,167686007,0,0,1,205,206,63,45,94,51,68
1482634488,1482634488,167686007,0,0,1,205,206,63,45,94,51,68
1483613596,1483613596,167686007,0,0,1,205,206,63,45,94,51,68
1484683336,1484683336,167686007,0,0,1,205,206,63,45,94,51,68
1485614440,1485614440,167686007,0,0,1,205,206,63,45,94,51,68
1486603303,1486603303,167686007,0,0,1,205,206,63,45,94,51,68
1487657787,1487657787,167686007,0,0,1,205,206,63,45,94,51,68
1488597151,1488597151,167686007,0,0,1,205,206,63,45,94,51,68
1489603264,1489603264,167686007,0,0,1,205,206,63,45,94,51,68
1490653133,1490653133,167686007,0,0,1,205,206,63,45,94,51,68
1491634380,1491634380,167686007,0,0,1,205,206,63,45,94,51,68
1492598036,1492598036,167686007,0,0,1,205,206,63,45,94,51,68
1493711620,1493711620,167686007,0,0,1,205,206,63,45,94,51,68
1494668955,1494668955,167686007,0,0,1,205,206,63,45,94,51,68
1495595234,1495595234,167686007,0,0,1,205,206,63,45,94,51,68
1496662044,1496662044,167686007,0,0,1,205,206,63,45,94,51,68
1497589102,1497589102,167686007,0,0,1,205,206,63,45,94,51,68
1498589301,1498589301,167686007,0,0,1,205,206,63,45,94,51,68
1499637065,1499637065,167686007,0,0,1,205,206,63,45,94,51,68
1500657962,1500657962,167686007,0,0,1,205,206,63,45,94,51,68
1501716545,1501716545,167686007,0,0,1,205,206,63,45,94,51,68
