timestamp,windspeed_north,windspeed_east,variance_north,variance_east
1438865953,0.0,0.0,0.0,0.0
1439066092,0.0,0.0,0.0,0.0
1439270863,0.0,0.0,0.0,0.0
1439470848,0.0,0.0,0.0,0.0
1439675695,0.0,0.0,0.0,0.0
1439876442,0.0,0.0,0.0,0.0
1440080487,0.0,0.0,0.0,0.0
1440281351,0.0,0.0,0.0,0.0
1440886021,0.0,0.0,0.0,0.0
1441090973,0.0,0.0,0.0,0.0
1441291638,0.0,0.0,0.0,0.0
1441491648,0.0,0.0,0.0,0.0
1441692715,0.0,0.0,0.0,0.0
1441896430,0.0,0.0,0.0,0.0
1442097342,0.0,0.0,0.0,0.0
1442301350,0.0,0.0,0.0,0.0
1442502144,0.0,0.0,0.0,0.0
1442706026,0.0,0.0,0.0,0.0
1442906915,0.0,0.0,0.0,0.0
1443108028,0.0,0.0,0.0,0.0
1443311618,0.0,0.0,0.0,0.0
1443512453,0.0,0.0,0.0,0.0
1443716440,0.0,0.0,0.0,0.0
1443917287,0.0,0.0,0.0,0.0
1444121214,0.0,0.0,0.0,0.0
1444322142,0.0,0.0,0.0,0.0
1444526162,0.0,0.0,0.0,0.0
1444726820,0.0,0.0,0.0,0.0
1444930857,0.0,0.0,0.0,0.0
1445131661,0.0,0.0,0.0,0.0
1445332529,0.0,0.0,0.0,0.0
1445536412,0.0,0.0,0.0,0.0
1445737190,0.0,0.0,0.0,0.0
1445941350,0.0,0.0,0.0,0.0
1446142056,0.0,0.0,0.0,0.0
1446342883,0.0,0.0,0.0,0.0
1446546805,0.0,0.0,0.0,0.0
1446747676,0.0,0.0,0.0,0.0
1446947995,0.0,0.0,0.0,0.0
1447148425,0.0,0.0,0.0,0.0
1447352485,0.0,0.0,0.0,0.0
1447553367,0.0,0.0,0.0,0.0
1447753327,0.0,0.0,0.0,0.0
1447958018,0.0,0.0,0.0,0.0
1448158027,0.0,0.0,0.0,0.0
1448358950,0.0,0.0,0.0,0.0
1448563647,0.0,0.0,0.0,0.0
1448763915,0.0,0.0,0.0,0.0
1448964526,0.0,0.0,0.0,0.0
1449168383,0.0,0.0,0.0,0.0
1449369218,0.0,0.0,0.0,0.0
1449569247,0.0,0.0,0.0,0.0
1449774094,0.0,0.0,0.0,0.0
1449974151,0.0,0.0,0.0,0.0
1450178803,0.0,0.0,0.0,0.0
1450383147,0.0,0.0,0.0,0.0
1450583937,0.0,0.0,0.0,0.0
1450784460,0.0,0.0,0.0,0.0
1450992524,0.0,0.0,0.0,0.0
1451193272,0.0,0.0,0.0,0.0
1451393313,0.0,0.0,0.0,0.0
1451598051,0.0,0.0,0.0,0.0
1451798293,0.0,0.0,0.0,0.0
1451998866,0.0,0.0,0.0,0.0
1452203783,0.0,0.0,0.0,0.0
1452403703,0.0,0.0,0.0,0.0
1452604525,0.0,0.0,0.0,0.0
1452808414,0.0,0.0,0.0,0.0
1453017586,0.0,0.0,0.0,0.0
1453217308,0.0,0.0,0.0,0.0
1453418159,0.0,0.0,0.0,0.0
1453622038,0.0,0.0,0.0,0.0
1453822863,0.0,0.0,0.0,0.0
1454023613,0.0,0.0,0.0,0.0
1454228005,0.0,0.0,0.0,0.0
1454428442,0.0,0.0,0.0,0.0
1454632521,0.0,0.0,0.0,0.0
1454833296,0.0,0.0,0.0,0.0
1455033374,0.0,0.0,0.0,0.0
1455234141,0.0,0.0,0.0,0.0
1455438067,0.0,0.0,0.0,0.0
1455638910,0.0,0.0,0.0,0.0
1455844038,0.0,0.0,0.0,0.0
1456043690,0.0,0.0,0.0,0.0
1456248528,0.0,0.0,0.0,0.0
1456448720,0.0,0.0,0.0,0.0
1456649238,0.0,0.0,0.0,0.0
1456849198,0.0,0.0,0.0,0.0
1457054094,0.0,0.0,0.0,0.0
1457254147,0.0,0.0,0.0,0.0
1457454832,0.0,0.0,0.0,0.0
1457654792,0.0,0.0,0.0,0.0
1457855702,0.0,0.0,0.0,0.0
1458056448,0.0,0.0,0.0,0.0
1458256422,0.0,0.0,0.0,0.0
1458461208,0.0,0.0,0.0,0.0
1458661274,0.0,0.0,0.0,0.0
1458862073,0.0,0.0,0.0,0.0
1459066007,0.0,0.0,0.0,0.0
1459271128,0.0,0.0,0.0,0.0
1459471919,0.0,0.0,0.0,0.0
