timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
1438862903,1438862903,18,255,0,0,0,1515,1514,1094,1517,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1439054882,1439054882,18,255,0,0,0,1515,1514,1094,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1439255706,1439255706,18,255,0,0,0,1515,1514,1094,1514,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1439459666,1439459666,18,255,0,0,0,1515,1514,1094,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1439660465,1439660465,18,255,0,0,0,1515,1514,1102,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1439873330,1439873330,18,255,0,0,0,1515,1514,1102,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1440077659,1440077659,18,255,0,0,0,1517,1514,1101,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1440262062,1440262062,18,255,0,0,0,1517,1514,1101,1515,1094,1094,1094,1514,1514,1514,1514,1514,944,944,1514,1514,998,998,0,0,4
1440871258,1440871258,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1441091903,1441091903,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1441288493,1441288493,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1441484694,1441484694,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1441689304,1441689304,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1441885323,1441885323,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1442094079,1442094079,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1442290094,1442290094,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1442490891,1442490891,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1442690876,1442690876,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1442907669,1442907669,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1443108890,1443108890,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1443292508,1443292508,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1443509295,1443509295,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1443717325,1443717325,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1443902495,1443902495,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1444110069,1444110069,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1444322937,1444322937,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1444506888,1444506888,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1444727668,1444727668,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1444927703,1444927703,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1445124470,1445124470,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1445333280,1445333280,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1445513310,1445513310,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1445718112,1445718112,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1445934066,1445934066,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1446126898,1446126898,18,255,0,0,0,1515,1514,1102,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1446339666,1446339666,18,255,0,0,0,1515,1514,1178,1515,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
1446536103,1446536103,18,255,0,0,0,1515,1514,1255,1516,1094,1934,1094,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
