timestamp,instance_count,seq_reached,item_changed_index,item_do_jump_remaining,app_param,seq_current,seq_total,valid,warning,finished,failure,read_complete,stay_in_failsafe,flight_termination,item_do_jump_changed
1221394815,2,-1,0,0,0.0,0,9,1,0,0,0,0,0,0,0
1440941928,2,-1,0,0,20.0,0,9,1,0,0,0,1,0,0,0
1440992430,2,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
1448907606,2,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
1459035107,2,0,0,0,200.0,1,9,1,0,0,0,0,0,0,0
1474834535,2,1,0,0,20.0,2,9,1,0,0,0,0,0,0,0
1477709978,2,2,0,0,200.0,3,9,1,0,0,0,0,0,0,0
1493314973,2,3,0,0,20.0,4,9,1,0,0,0,0,0,0,0
1496200932,2,4,0,0,200.0,5,9,1,0,0,0,0,0,0,0
1512405301,2,5,0,0,20.0,6,9,1,0,0,0,0,0,0,0
1515113878,2,6,0,0,200.0,7,9,1,0,0,0,0,0,0,0
1531116182,2,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
1531128389,2,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
1602626903,3,-1,0,0,0.0,8,9,1,0,0,0,0,0,0,0
