timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous._padding0,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current._padding0,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next._padding0
1440941780,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1448907602,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.253429,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1449095294,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2533345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1449295736,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2534049,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1449495883,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2535825,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1449697162,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2539635,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1449896267,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2544873,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1450097663,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2548625,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1450296759,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2547116,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
1450497586,0,-22.353379087656208,-48.61623259623382,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-0.99227345,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,-22.353607177734375,-48.61653518676758,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,-2.2542074,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-22.353025436401367,-48.616458892822266,0.0,0.0,0.0,0.0,0.0,0.0,495.8592,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
