timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
2792114777,1557839930800165,-223533641,-486162272,496996,491299,0.16800001,0.6161298,0.49500003,0.632,0.59,0.76,122,11,0.018000001,-0.017,0.006,0.013,0.8851838,0,4,1,19
2792288498,1557839931000165,-223533641,-486162273,496986,491290,0.128,0.6161354,0.49500003,0.632,0.59,0.76,121,11,0.063,-0.041,-0.048,0.002,0.8851838,0,4,1,19
2792513120,1557839931200165,-223533641,-486162274,496973,491277,0.172,0.61614305,0.49500003,0.633,0.59,0.76,121,11,0.003,-0.003,-0.001,-0.013,0.8851838,0,4,1,19
2792695553,1557839931400165,-223533642,-486162274,496961,491265,0.186,0.61615145,0.49600002,0.633,0.59,0.76,121,11,0.029000001,-0.024,0.016,0.049000002,0.8851838,0,4,1,19
2792898055,1557839931600165,-223533642,-486162274,496940,491244,0.16000001,0.6161586,0.49600002,0.634,0.59,0.76,121,11,0.014,0.009000001,-0.011000001,0.009000001,0.8851838,0,4,1,19
2793101222,1557839931800165,-223533642,-486162274,496927,491231,0.187,0.616167,0.497,0.634,0.59,0.76,121,11,0.033,0.033,-0.002,-0.067,0.8851838,0,4,1,19
2793301097,1557839932000165,-223533642,-486162274,496916,491220,0.18900001,0.61617535,0.497,0.63500005,0.59,0.76,121,11,0.010000001,-0.010000001,0.0,0.032,0.8851838,0,4,1,19
2793486299,1557839932200165,-223533642,-486162274,496897,491200,0.18300001,0.6161836,0.49800003,0.63500005,0.59,0.76,121,11,0.013,0.013,0.0,-0.018000001,0.8851838,0,4,1,19
2793701677,1557839932400165,-223533642,-486162275,496882,491186,0.136,0.6161895,0.49800003,0.63600004,0.59,0.76,121,11,0.018000001,-0.007,-0.017,0.006,0.8851838,0,4,1,19
2793900036,1557839932600165,-223533643,-486162275,496870,491174,0.18400002,0.6161977,0.499,0.63600004,0.59,0.76,121,11,0.055000003,-0.042000003,0.035,0.071,0.8851838,0,4,1,19
