timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
2792215253,-0.0,0.0,-1.2199926,0.0,0.8196501,0.0,0.0,-0.5728644,0.011629721,-1.0,1,0,0,0,0,0,0
2792314471,-0.0,0.0,-1.2191148,0.0,0.81990147,0.0,0.0,-0.57250464,0.011666939,-1.0,1,0,0,0,0,0,0
2792418497,-0.0,0.0,-1.2214882,0.0,0.81922156,0.0,0.0,-0.5734772,0.011666684,-1.0,1,0,0,0,0,0,0
2792519503,-0.0,0.0,-1.2196417,0.0,0.81975067,0.0,0.0,-0.5727206,0.011666668,-1.0,1,0,0,0,0,0,0
2792619982,-0.0,0.0,-1.2200927,0.0,0.81962144,0.0,0.0,-0.5729054,0.0151041495,-1.0,1,0,0,0,0,0,0
2792720101,-0.0,0.0,-1.2200222,0.0,0.81964165,0.0,0.0,-0.5728766,0.043173987,-1.0,1,0,0,0,0,0,0
2792823615,-0.0,0.0,-1.2198856,0.0,0.81968075,0.0,0.0,-0.57282054,0.07748225,-1.0,1,0,0,0,0,0,0
2792924497,-0.0,0.0,-1.220042,0.0,0.8196359,0.0,0.0,-0.5728847,0.08520825,-1.0,1,0,0,0,0,0,0
2793024073,-0.0,0.0,-1.2209241,0.0,0.8193832,0.0,0.0,-0.5732461,0.08500474,-1.0,1,0,0,0,0,0,0
2793128024,-0.0,0.0,-1.2201422,0.0,0.81960726,0.0,0.0,-0.57292575,0.08499999,-1.0,1,0,0,0,0,0,0
2793228844,-0.0,0.0,-1.2196602,0.0,0.81974536,0.0,0.0,-0.57272816,0.08499999,-1.0,1,0,0,0,0,0,0
2793328816,-0.0,0.0,-1.2201699,0.0,0.81959933,0.0,0.0,-0.5729371,0.08465572,-1.0,1,0,0,0,0,0,0
2793432921,-0.0,0.0,-1.2202659,0.0,0.81957185,0.0,0.0,-0.5729764,0.08334597,-1.0,1,0,0,0,0,0,0
2793533737,-0.0,0.0,-1.2194754,0.0,0.8197983,0.0,0.0,-0.57265246,0.082172364,-1.0,1,0,0,0,0,0,0
2793633153,-0.0,0.0,-1.2196877,0.0,0.8197375,0.0,0.0,-0.5727395,0.08167767,-1.0,1,0,0,0,0,0,0
2793736938,-0.0,0.0,-1.2196827,0.0,0.8197389,0.0,0.0,-0.5727374,0.08166665,-1.0,1,0,0,0,0,0,0
2793837745,-0.0,0.0,-1.2198622,0.0,0.8196875,0.0,0.0,-0.572811,0.08166666,-1.0,1,0,0,0,0,0,0
2793939273,-0.0,0.0,-1.2197057,0.0,0.8197323,0.0,0.0,-0.5727469,0.08166666,-1.0,1,0,0,0,0,0,0
2794042350,-0.0,0.0,-1.2195382,0.0,0.8197803,0.0,0.0,-0.5726782,0.08166666,-1.0,1,0,0,0,0,0,0
2794141731,-0.0,0.0,-1.2196684,0.0,0.819743,0.0,0.0,-0.57273155,0.08166666,-1.0,1,0,0,0,0,0,0
2794242831,0.0020811548,-0.003423168,-1.21944,0.0,0.81980777,-0.00012704423,-0.0019990427,-0.5726353,0.63325644,-1.0,1,0,0,0,0,0,0
2794342868,8.846766e-06,0.0032362624,-1.219456,0.0,0.81980276,0.0009302398,0.0013240165,-0.57264376,0.6084216,-1.0,1,0,0,0,0,0,0
2794443801,-0.008332329,0.0051573347,-1.219456,0.0,0.81980014,-0.001938771,0.0044996967,-0.5726288,0.45385778,-1.0,1,0,0,0,0,0,0
2794547258,-0.014645989,0.023844913,-1.219456,0.0,0.81977355,0.00082404516,0.01396672,-0.572517,0.41239968,-1.0,1,0,0,0,0,0,0
2794651513,-0.018404113,0.027137056,-1.219456,0.0,0.81976515,0.00022629499,0.016391665,-0.5724651,0.44112584,-1.0,1,0,0,0,0,0,0
2794757749,-0.019094804,0.050818615,-1.219456,0.0,0.81964076,0.006723921,0.026292875,-0.5722347,0.42963883,-1.0,1,0,0,0,0,0,0
2794860135,-0.018669412,0.057246327,-1.219456,0.0,0.81958526,0.008738562,0.02880435,-0.57216597,0.42346495,-1.0,1,0,0,0,0,0,0
2794960483,-0.010645579,0.06663386,-1.219456,0.0,0.8194388,0.014713752,0.030354265,-0.57217324,0.42260104,-1.0,1,0,0,0,0,0,0
2795063572,-0.004197187,0.07281881,-1.219456,0.0,0.81930244,0.019125702,0.03104286,-0.57220113,0.40322667,-1.0,1,0,0,0,0,0,0
2795166175,0.005231919,0.07786327,-1.219456,0.0,0.81912154,0.024431223,0.03041125,-0.57229203,0.3898567,-1.0,1,0,0,0,0,0,0
2795269231,0.013513487,0.0777884,-1.219456,0.0,0.81901467,0.027801398,0.02801059,-0.57241374,0.37496865,-1.0,1,0,0,0,0,0,0
2795372963,0.023157796,0.07906892,-1.219456,0.0,0.8188463,0.03211657,0.02577462,-0.57253385,0.36307633,-1.0,1,0,0,0,0,0,0
2795478126,0.031051457,0.07672771,-1.219456,0.0,0.8187609,0.034678992,0.022555506,-0.5726424,0.35727176,-1.0,1,0,0,0,0,0,0
2795582136,0.032889083,0.07021502,-1.219456,0.0,0.8188573,0.033569656,0.019360816,-0.57268745,0.35465604,-1.0,1,0,0,0,0,0,0
2795681215,0.04095182,0.06519191,-1.219456,0.0,0.81881446,0.035434816,0.014993588,-0.5727674,0.34815082,-1.0,1,0,0,0,0,0,0
2795785203,0.04710618,0.062438786,-1.219456,0.0,0.8187561,0.037167475,0.012102795,-0.57280934,0.34139997,-1.0,1,0,0,0,0,0,0
2795885992,0.0430727,0.062265124,-1.219456,0.0,0.81883264,0.03546654,0.01318681,-0.57278377,0.33945468,-1.0,1,0,0,0,0,0,0
2795985923,0.04423119,0.0506019,-1.219456,0.0,0.8190207,0.032606527,0.008075243,-0.57277983,0.33896288,-1.0,1,0,0,0,0,0,0
2796087262,0.04175338,0.051428612,-1.219456,0.0,0.81904685,0.031828217,0.009123669,-0.5727705,0.33537087,-1.0,1,0,0,0,0,0,0
2796190844,0.041165862,0.044888653,-1.219456,0.0,0.8191592,0.029717341,0.0066116024,-0.57275766,0.3290358,-1.0,1,0,0,0,0,0,0
2796289881,0.039315037,0.037981268,-1.219456,0.0,0.8192839,0.026983492,0.0043106354,-0.57273656,0.32946905,-1.0,1,0,0,0,0,0,0
2796393970,0.028860347,0.039713737,-1.219456,0.0,0.8193928,0.023196165,0.008014529,-0.5727069,0.33443925,-1.0,1,0,0,0,0,0,0
2796495474,0.027486414,0.03163596,-1.219456,0.0,0.8194994,0.020321812,0.0050971364,-0.572697,0.32962435,-1.0,1,0,0,0,0,0,0
2796594739,0.022069663,0.03787959,-1.219456,0.0,0.8194872,0.019889051,0.00920727,-0.5726782,0.32354054,-1.0,1,0,0,0,0,0,0
2796698748,0.020106474,0.03371821,-1.219456,0.0,0.81954885,0.0178937,0.008063789,-0.5726731,0.32892564,-1.0,1,0,0,0,0,0,0
