timestamp,min_distance,max_distance,current_distance,covariance,signal_quality,type,id,orientation
2792184881,0.05,35.0,0.049999997,0.0,0,0,0,25
2792237149,0.05,35.0,0.089999996,0.0,0,0,0,25
2792292683,0.05,35.0,0.08,0.0,0,0,0,25
2792346518,0.05,35.0,0.049999997,0.0,0,0,0,25
2792400300,0.05,35.0,0.12,0.0,0,0,0,25
2792452667,0.05,35.0,0.14,0.0,0,0,0,25
2792506653,0.05,35.0,0.03,0.0,0,0,0,25
2792557645,0.05,35.0,0.07,0.0,0,0,0,25
2792613328,0.05,35.0,0.07,0.0,0,0,0,25
2792665603,0.05,35.0,0.089999996,0.0,0,0,0,25
2792717676,0.05,35.0,0.049999997,0.0,0,0,0,25
2792772595,0.05,35.0,0.08,0.0,0,0,0,25
2792825554,0.05,35.0,0.08,0.0,0,0,0,25
2792877680,0.05,35.0,0.0,0.0,0,0,0,25
2792932338,0.05,35.0,0.089999996,0.0,0,0,0,25
2792984591,0.05,35.0,0.089999996,0.0,0,0,0,25
2793038125,0.05,35.0,0.08,0.0,0,0,0,25
2793090580,0.05,35.0,0.04,0.0,0,0,0,25
2793142764,0.05,35.0,0.13,0.0,0,0,0,25
2793197288,0.05,35.0,0.089999996,0.0,0,0,0,25
2793249487,0.05,35.0,0.089999996,0.0,0,0,0,25
2793302441,0.05,35.0,0.07,0.0,0,0,0,25
2793354888,0.05,35.0,0.14,0.0,0,0,0,25
2793407480,0.05,35.0,0.14999999,0.0,0,0,0,25
2793458586,0.05,35.0,0.13,0.0,0,0,0,25
2793511220,0.05,35.0,0.12,0.0,0,0,0,25
2793562801,0.05,35.0,0.07,0.0,0,0,0,25
2793615663,0.05,35.0,0.04,0.0,0,0,0,25
2793672972,0.05,35.0,0.12,0.0,0,0,0,25
2793727049,0.05,35.0,0.14,0.0,0,0,0,25
2793778540,0.05,35.0,0.049999997,0.0,0,0,0,25
2793831497,0.05,35.0,0.12,0.0,0,0,0,25
2793884073,0.05,35.0,0.12,0.0,0,0,0,25
2793936432,0.05,35.0,0.089999996,0.0,0,0,0,25
2793991697,0.05,35.0,0.089999996,0.0,0,0,0,25
2794044473,0.05,35.0,0.12,0.0,0,0,0,25
2794099879,0.05,35.0,0.049999997,0.0,0,0,0,25
2794152538,0.05,35.0,0.14999999,0.0,0,0,0,25
2794207562,0.05,35.0,0.089999996,0.0,0,0,0,25
2794260422,0.05,35.0,0.07,0.0,0,0,0,25
2794317306,0.05,35.0,0.07,0.0,0,0,0,25
2794372878,0.05,35.0,0.12,0.0,0,0,0,25
2794424591,0.05,35.0,0.13,0.0,0,0,0,25
2794478882,0.05,35.0,0.07,0.0,0,0,0,25
2794532569,0.05,35.0,0.14,0.0,0,0,0,25
2794584511,0.05,35.0,0.14,0.0,0,0,0,25
2794637163,0.05,35.0,0.29,0.0,0,0,0,25
2794693293,0.05,35.0,0.29999998,0.0,0,0,0,25
2794745555,0.05,35.0,0.39,0.0,0,0,0,25
2794797729,0.05,35.0,0.45999998,0.0,0,0,0,25
2794849601,0.05,35.0,0.53999996,0.0,0,0,0,25
2794903973,0.05,35.0,0.62,0.0,0,0,0,25
2794957772,0.05,35.0,0.71999997,0.0,0,0,0,25
2795009483,0.05,35.0,0.81,0.0,0,0,0,25
