timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
2794165738,8.851851,-17.82197,9.374395,-1.2197219,8.583069e-06,-5.6266785e-05,0.0014995,0.0,0.0,-0.0
2794269960,8.851418,-17.822079,0.4708557,-1.219456,0.00023174286,6.198883e-05,0.4593545,-0.007612409,0.025702065,-5.976237
2794371276,8.851418,-17.822079,0.4708557,-1.219456,0.00060224533,0.00015449524,0.30743146,-0.039657656,0.05847623,-5.93621
2794470753,8.851418,-17.822079,0.4708557,-1.219456,-0.00083065033,0.0005903244,0.15813945,-0.07044421,0.026960837,-4.016286
2794571348,8.851418,-17.822079,0.4708557,-1.219456,-0.0049390793,0.0022497177,0.0071599777,-0.08556509,0.063977376,-4.1437063
2794675482,8.851418,-17.822079,0.4708557,-1.219456,-0.011557102,0.0068588257,-0.14891054,-0.13652883,0.11979159,-4.369915
2794775771,8.851418,-17.822079,0.4708557,-1.219456,-0.020197868,0.015084267,-0.29922253,-0.14904591,0.14672309,-4.1963706
2794876690,8.851418,-17.822079,0.4708557,-1.219456,-0.02849245,0.025463104,-0.4506836,-0.13723943,0.20203681,-4.0926995
2794980450,8.851418,-17.822079,0.4708557,-1.219456,-0.037151337,0.038924217,-0.6,-0.12422747,0.23218499,-4.1752524
2795080436,8.851418,-17.822079,0.4708557,-1.219456,-0.044168472,0.052778244,-0.6,-0.092258506,0.24159032,-3.9321795
2795180976,8.851418,-17.822079,0.4708557,-1.219456,-0.049364567,0.067934036,-0.6,-0.07949472,0.26829484,-3.759777
2795285598,8.851418,-17.822079,0.4708557,-1.219456,-0.052444458,0.08410931,-0.6,-0.050480783,0.28702554,-3.654856
2795388882,8.851418,-17.822079,0.4708557,-1.219456,-0.05263281,0.10048008,-0.6,-0.02524645,0.3059012,-3.5687032
2795489087,8.851418,-17.822079,0.4708557,-1.219456,-0.048974514,0.114715576,-0.6,-0.002316185,0.28107572,-3.523924
2795590116,8.851418,-17.822079,0.4708557,-1.219456,-0.043102264,0.1281786,-0.6,0.048454184,0.27256748,-3.4108973
2795693929,8.851418,-17.822079,0.4708557,-1.219456,-0.03489685,0.14130306,-0.6,0.050777964,0.25343704,-3.429915
2795793258,8.851418,-17.822079,0.4708557,-1.219456,-0.02582407,0.15181065,-0.6,0.060218316,0.24196498,-3.370116
2795897299,8.851418,-17.822079,0.4708557,-1.219456,-0.0153775215,0.15996838,-0.6,0.07885707,0.23791248,-3.3140094
2795998448,8.851418,-17.822079,0.4708557,-1.219456,-0.0050196648,0.16516304,-0.6,0.09288678,0.19701932,-3.307485
2796097948,8.851418,-17.822079,0.4708557,-1.219456,0.0048117638,0.16802883,-0.6,0.06685356,0.18955404,-3.2759254
2796202055,8.851418,-17.822079,0.4708557,-1.219456,0.014101982,0.16960716,-0.6,0.06828447,0.17000045,-3.2406037
2796303182,8.851418,-17.822079,0.4708557,-1.219456,0.021876335,0.1699686,-0.6,0.063116364,0.14850703,-3.156151
2796402126,8.851418,-17.822079,0.4708557,-1.219456,0.028378963,0.17006874,-0.6,0.050589845,0.14364862,-3.1407697
2796503765,8.851418,-17.822079,0.4708557,-1.219456,0.033894062,0.17013073,-0.6,0.037308842,0.14714897,-3.1816869
2796607522,8.851418,-17.822079,0.4708557,-1.219456,0.03750372,0.17006683,-0.6,0.014017167,0.14250645,-3.2420228
2796706692,8.851418,-17.822079,0.4708557,-1.219456,0.039266586,0.1697216,-0.6,0.021790992,0.13780263,-3.2020457
2796810830,8.851418,-17.822079,0.4708557,-1.219456,0.04029274,0.16897392,-0.6,-0.001121349,0.14712979,-3.2102127
2796912511,8.851418,-17.822079,0.4708557,-1.219456,0.040723324,0.1679678,-0.6,0.0047123292,0.123372756,-3.2606812
2797011801,8.851418,-17.822079,0.4708557,-1.219456,0.040271282,0.16622639,-0.6,-0.0049319733,0.13222869,-3.2469087
2797115501,8.851418,-17.822079,0.4708557,-1.219456,0.039206505,0.16417503,-0.6,0.013418706,0.12833662,-3.1716588
2797216362,8.851418,-17.822079,0.4708557,-1.219456,0.037707806,0.16308594,-0.6,-0.0070462595,0.13913524,-3.2278187
2797317138,8.851418,-17.822079,0.4708557,-1.219456,0.03603363,0.16234016,-0.6,0.0006707897,0.13629591,-3.2287824
2797416465,8.851418,-17.822079,0.4708557,-1.219456,0.035695076,0.16087818,-0.6,0.021662878,0.14027399,-3.1853855
2797520591,8.851418,-17.822079,0.4708557,-1.219456,0.03593731,0.15925503,-0.6,0.010648245,0.14190552,-3.3160365
2797621473,8.851418,-17.822079,0.4708557,-1.219456,0.036246777,0.15901184,-0.6,0.017990077,0.14751668,-3.2599552
2797721195,8.851418,-17.822079,0.4708557,-1.219456,0.036594868,0.1590147,-0.6,0.029444508,0.16916068,-3.2338688
2797825184,8.851418,-17.822079,0.4708557,-1.219456,0.036735535,0.15889645,-0.6,0.015657997,0.16274913,-3.324957
2797926564,8.851418,-17.822079,0.4708557,-1.219456,0.03679371,0.1586237,-0.6,0.034075804,0.16617636,-3.252099
2798029692,8.851418,-17.822079,0.4708557,-1.219456,0.0377903,0.15711689,-0.6,0.01975948,0.14785635,-3.3208752
2798134109,8.851418,-17.822079,0.4708557,-1.219456,0.03903246,0.15517998,-0.6,0.031871937,0.1619541,-3.348069
2798234790,8.851418,-17.822079,0.4708557,-1.219456,0.039834023,0.15412235,-0.6,0.02689585,0.16368641,-3.324806
