timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,recover_last_mission,rtm_mode,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,mission_failure
2791950553,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2792312308,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2792541098,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2792776590,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2793013195,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2793256564,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2793497383,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2793737881,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2793974149,0,0,0,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2794163283,0,0,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2794246466,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2794447229,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2794687096,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2794920689,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2795157774,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2795397673,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2795638485,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2795878670,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2796119583,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2796359764,0,0,0,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
