timestamp,roll,pitch,yaw,thrust
2792213575,-0.16483526,0.047393303,-0.0012967049,0.011629721
2792245568,-0.16475809,0.047993205,-0.0013129048,0.01165873
2792277587,-0.1643824,0.048556715,-0.0013249371,0.011671773
2792309629,-0.16396494,0.049047064,-0.001335036,0.011670108
2792341610,-0.1639341,0.049063437,-0.0013352414,0.011666093
2792373580,-0.16378081,0.048708055,-0.0013245656,0.0116664
2792405614,-0.16338496,0.048525132,-0.0013162718,0.011666723
2792437592,-0.16337281,0.04872863,-0.0013216862,0.011666684
2792469608,-0.16272114,0.04884298,-0.0013198714,0.011666661
2792501572,-0.1627255,0.048962615,-0.001322537,0.011666666
2792534364,-0.16340569,0.049454313,-0.0013418129,0.012010953
2792566371,-0.16321015,0.04912012,-0.0013311759,0.01282675
2792598400,-0.16385682,0.04938644,-0.0013433839,0.014619126
2792630417,-0.16350695,0.049214162,-0.0013361818,0.0151041495
2792662425,-0.16356361,0.04947357,-0.0013433238,0.016145928
2792690373,-0.16350976,0.049161263,-0.0013348404,0.031203108
2792722421,-0.16310826,0.049050763,-0.0013284114,0.043173987
2792754418,-0.16318877,0.049423866,-0.0013389584,0.055289768
2792786378,-0.16254056,0.049370416,-0.0013323107,0.06987171
2792818413,-0.16302468,0.04957532,-0.0013422815,0.07340967
2792850422,-0.1628348,0.04942988,-0.0013366,0.08208155
2792882486,-0.16328497,0.050067935,-0.0013575692,0.08504936
2792914391,-0.16266899,0.049561553,-0.0013387082,0.08558972
2792946413,-0.16209245,0.050055966,-0.0013472807,0.084961474
2792979175,-0.16224684,0.05004032,-0.0013484249,0.08498722
2793011185,-0.16228601,0.04971518,-0.0013396963,0.08500606
2793043259,-0.16237251,0.049824484,-0.0013433539,0.08500474
2793075176,-0.16235203,0.048692793,-0.0013127325,0.08499928
2793107175,-0.16259472,0.05038797,-0.0013604184,0.08499963
2793139179,-0.16194892,0.05008899,-0.0013465604,0.08499999
2793171227,-0.16240133,0.049695957,-0.0013400558,0.08500002
2793207172,-0.1627075,0.049993865,-0.0013505893,0.08499999
2793239233,-0.16288818,0.05064141,-0.0013700344,0.085
2793271217,-0.16220458,0.04983094,-0.0013419392,0.085
2793299234,-0.16228859,0.050789647,-0.0013687552,0.08499999
2793332007,-0.16200247,0.05038082,-0.0013553422,0.08465572
2793363964,-0.16203886,0.049949292,-0.0013437609,0.08326159
2793395973,-0.16271704,0.050458804,-0.0013629216,0.08320762
2793428001,-0.16186975,0.04971481,-0.001336502,0.08334597
2793460030,-0.16239187,0.050304037,-0.0013565444,0.08334435
2793491988,-0.1621208,0.05054149,-0.0013606317,0.08333493
2793523984,-0.16221274,0.050047092,-0.0013477205,0.082172364
2793556002,-0.1623876,0.05037838,-0.0013582298,0.08159491
2793588009,-0.1624382,0.050263457,-0.001355807,0.08163433
2793619983,-0.16234444,0.05006921,-0.0013496076,0.0816793
2793652010,-0.16162656,0.050358787,-0.0013513626,0.08166826
2793683977,-0.16129942,0.050509907,-0.0013524209,0.0816651
2793716047,-0.16201816,0.050365258,-0.0013545249,0.08166578
2793747965,-0.161837,0.050478157,-0.0013563095,0.081666835
2793780020,-0.16159743,0.0501832,-0.0013460831,0.08166674
2793812774,-0.16263157,0.05023156,-0.0013565462,0.08166666
2793844796,-0.16229862,0.050668836,-0.001365868,0.08166666
2793876824,-0.16172688,0.050591245,-0.0013584836,0.08166666
2793904808,-0.16186026,0.050378557,-0.0013538585,0.08166666
2793936770,-0.16220199,0.051018126,-0.0013740315,0.08166666
2793968773,-0.16182874,0.049914137,-0.0013411476,0.08166666
2794000957,-0.16268715,0.050466694,-0.001363179,0.08166666
2794032807,-0.16209963,0.049593844,-0.0013347691,0.08166666
2794064772,-0.16266367,0.050311588,-0.001359071,0.08166666
2794096779,-0.16208774,0.05021607,-0.0013515877,0.08166666
2794128790,-0.16208424,0.049548857,-0.0013336835,0.08166666
2794160810,-0.16242868,0.050902687,-0.0013727809,0.08166666
2794192769,-0.1619205,0.049318455,-0.0013505636,0.1
