timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,pos_d_deriv,yaw,eph,epv,evh,evv,terrain_alt,pressure_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
2797054910,-22.353364914913882,-48.6162307171192,496.94644,-0.0,0.026353223,0.060905468,-1.0692714,-1.1521704,-1.1242173,0.7182123,0.91193575,0.14306042,0.04561983,492.84265,440.5735,1,0,1,0
2797258878,-22.353364862245044,-48.61623066435324,497.17123,-0.0,0.025127178,0.04853386,-0.9776171,-1.0576731,-1.1306167,0.7181321,0.91195583,0.14247374,0.045618303,492.85587,441.52908,1,0,1,0
2797460092,-22.353364841867098,-48.61623061574182,497.3692,-0.0,0.020987466,0.03838162,-0.89269924,-0.96522576,-1.136246,0.71836936,0.91188663,0.14235622,0.04557199,492.86765,441.52908,1,0,1,0
2797663690,-22.353364851284226,-48.616230592817885,497.54895,-0.0,0.00745857,0.034437038,-0.81668913,-0.8791152,-1.1410662,0.7181728,0.91194946,0.1419069,0.04555539,492.8598,441.6159,1,0,1,0
2797864546,-22.35336485824843,-48.61623058845937,497.71487,-0.0,-0.005893931,0.02714766,-0.76010656,-0.8170103,-1.1446134,0.7180921,0.9119183,0.14166133,0.045556452,492.8677,442.48477,1,0,1,0
2798068487,-22.353364885899435,-48.61623054136886,497.8741,-0.0,-0.0138222445,0.01618118,-0.71897626,-0.7722504,-1.1474768,0.7183035,0.91190344,0.14177464,0.045548167,492.8804,441.09503,1,0,1,0
2798273278,-22.35336491865352,-48.61623049030932,498.02344,-0.0,-0.0155589655,0.034593225,-0.67893326,-0.72751564,-1.149513,0.71852696,0.91188943,0.14205772,0.045541387,492.88232,442.48477,1,0,1,0
2798473302,-22.353364955961794,-48.616230427750715,498.16556,-0.0,-0.030437954,0.04773079,-0.6602747,-0.7072721,-1.1510943,0.7183303,0.9119001,0.14192195,0.04550462,492.8813,442.05066,1,0,1,0
2798674101,-22.3533650008175,-48.616230344827635,498.30283,-0.0,-0.028579142,0.05227069,-0.63422287,-0.67863166,-1.1529495,0.71827364,0.9118686,0.14201501,0.045497283,492.89746,442.74527,1,0,1,0
2798878037,-22.35336505872681,-48.616230241243336,498.4403,-0.0,-0.039978046,0.06594936,-0.61724645,-0.6615775,-1.1550486,0.7182551,0.91184115,0.14213738,0.045506638,492.90192,442.9189,1,0,1,0
2799078954,-22.353365145882336,-48.61623012452788,498.57336,-0.0,-0.05049408,0.07433262,-0.60028595,-0.6448649,-1.1568955,0.718216,0.91181344,0.14228494,0.045499824,492.88785,442.22366,1,0,1,0
2799283177,-22.35336524280665,-48.61622997351925,498.69467,-0.0,-0.056790743,0.07547368,-0.5922306,-0.62695,-1.1590384,0.71854275,0.9118602,0.14283304,0.04554657,492.899,443.26624,1,0,1,0
2799483682,-22.35336530255141,-48.616229813960445,498.8108,-0.0,-0.058393035,0.0793962,-0.5851025,-0.6121618,-1.1608834,0.71851873,0.91183275,0.14301318,0.045533717,492.89005,443.7879,1,0,1,0
2799683626,-22.353365393163404,-48.616229602767156,498.9341,-0.0,-0.052634303,0.09455318,-0.5876837,-0.61630845,-1.1623113,0.7185384,0.9118089,0.1432752,0.045538638,492.88412,443.1794,1,0,1,0
2799888423,-22.353365496683203,-48.61622937758952,499.06705,-0.0,-0.046899226,0.08944133,-0.59306645,-0.6282644,-1.1629429,0.71853,0.91183597,0.14349435,0.045552358,492.9022,442.8321,1,0,1,0
2800092490,-22.353365559738528,-48.61622922144335,499.20172,-0.0,-0.03744955,0.10621431,-0.589493,-0.63100886,-1.1633017,0.71888894,0.9118314,0.14405724,0.04556549,492.9314,443.1794,1,0,1,0
2800296451,-22.3533655957175,-48.61622909493508,499.3333,-0.0,-0.028846404,0.10221858,-0.58924335,-0.63318783,-1.1639192,0.718938,0.9118563,0.14430419,0.0455715,492.9508,443.5274,1,0,1,0
2800497267,-22.3533656138485,-48.61622903133782,499.4648,-0.0,-0.01464176,0.104537755,-0.5812466,-0.6286451,-1.1648998,0.71889347,0.91188145,0.14434169,0.045579266,492.96423,443.5274,1,0,1,0
2800701312,-22.353365616189986,-48.616228955351225,499.5945,-0.0,-0.005629242,0.101190776,-0.5782189,-0.6244481,-1.1656189,0.71931183,0.9118736,0.14496607,0.04558265,492.97095,443.6149,1,0,1,0
2800902021,-22.353365616001454,-48.61622881916143,499.71628,-0.0,-0.008508878,0.09712495,-0.5772657,-0.6182795,-1.1657872,0.71940005,0.91184795,0.14517917,0.04557885,492.9837,443.1794,1,0,1,0
2801106044,-22.35336558576914,-48.61622863180073,499.84042,-0.0,-0.0013221041,0.1045588,-0.573819,-0.6126733,-1.1657714,0.7194484,0.91182095,0.14533235,0.045558088,492.9755,444.30893,1,0,1,0
2801310912,-22.35336554381266,-48.616228399259796,499.9655,-0.0,-0.0049509024,0.11502975,-0.5711376,-0.60889924,-1.1653472,0.7198301,0.911866,0.14582242,0.04557756,493.00314,443.6149,1,0,1,0
2801511146,-22.353365512894243,-48.61622819361187,500.08115,-0.0,-0.004319373,0.11199978,-0.5728753,-0.6044354,-1.1648359,0.7197656,0.9118424,0.14578295,0.045576226,493.0001,444.4826,1,0,1,0
2801711689,-22.353365485114804,-48.616228037317214,500.19724,-0.0,-0.0018156134,0.10023883,-0.572365,-0.599284,-1.1641815,0.7197707,0.9118681,0.14587471,0.045581613,493.01355,443.87473,1,0,1,0
2801911694,-22.35336546991721,-48.61622790813812,500.31842,-0.0,-0.025317442,0.08501554,-0.5899075,-0.6160447,-1.1637118,0.7197901,0.91188073,0.1460375,0.04553537,493.02554,444.22275,1,0,1,0
2802116513,-22.3533654805094,-48.61622782206202,500.44034,-0.0,-0.026750531,0.0702947,-0.5881778,-0.61079603,-1.1641428,0.7202877,0.91192067,0.14669879,0.04555376,493.03052,444.39575,1,0,1,0
2802316487,-22.353365516548347,-48.61622775323457,500.55597,-0.0,-0.040309753,0.05503162,-0.59000444,-0.6067235,-1.1650385,0.72031933,0.9118924,0.14672214,0.04555349,493.0444,443.5274,1,0,1,0
2802521284,-22.353365568668398,-48.616227695906204,500.67688,-0.0,-0.05189911,0.035023723,-0.5997721,-0.6126556,-1.1669447,0.7203126,0.9118628,0.14671472,0.04553695,493.0655,444.91748,1,0,1,0
2802725265,-22.353365614587595,-48.616227615561144,500.78796,-0.0,-0.062421236,0.021279547,-0.60101634,-0.6016906,-1.1693943,0.72068304,0.911854,0.14709406,0.045547735,493.05695,444.91748,1,0,1,0
2802925194,-22.353365680799055,-48.6162275066539,500.89053,-0.0,-0.054337442,0.0040882644,-0.5846901,-0.5710256,-1.1721771,0.72072375,0.9118788,0.14719373,0.045558494,493.0423,445.09116,1,0,1,0
2803129999,-22.35336575833163,-48.61622740182699,500.99728,-0.0,-0.06348676,-0.014485077,-0.5900643,-0.5666491,-1.1756341,0.7207617,0.9118509,0.1472262,0.045543734,493.02853,445.61227,1,0,1,0
2803330127,-22.353365867417462,-48.61622733133041,501.10083,-0.0,-0.0733683,-0.011916175,-0.59239304,-0.56233543,-1.1791594,0.7208215,0.91187704,0.14732705,0.045566905,493.0291,445.09116,1,0,1,0
2803530966,-22.353366006924464,-48.616227297760716,501.20883,-0.0,-0.07684676,-0.017618742,-0.58653647,-0.5551942,-1.1832788,0.72084504,0.91184783,0.14734043,0.045547094,493.00754,445.26553,1,0,1,0
2803734799,-22.353366169219427,-48.61622731347013,501.3246,-0.0,-0.07770059,-0.017508944,-0.5932311,-0.5658543,-1.1873757,0.7212407,0.91184044,0.1477558,0.045554478,492.98325,445.00433,1,0,1,0
2803935637,-22.35336629912911,-48.6162273762886,501.4584,-0.0,-0.08407716,-0.028775815,-0.6169118,-0.6077082,-1.1906106,0.72130424,0.91181445,0.14781801,0.04553891,493.00766,444.91748,1,0,1,0
2804135870,-22.35336643791555,-48.6162274621794,501.6123,-0.0,-0.088496245,-0.023915393,-0.68243164,-0.69459265,-1.21752,0.7213445,0.9118446,0.14790598,0.045567658,493.02545,446.39526,1,0,1,0
2804340590,-22.353366620854327,-48.616227540280576,501.76157,-0.0,-0.11264903,-0.012688942,-0.6288304,-0.6496351,-1.2586895,0.7216987,0.9118355,0.1483328,0.045556616,493.04504,444.83063,1,0,1,0
2804544431,-22.353366862482797,-48.6162275952724,501.8888,-0.0,-0.16067648,-0.017396867,-0.54636204,-0.5679448,-1.3065817,0.72155476,0.91184914,0.14787787,0.04551409,493.03513,445.78662,1,0,1,0
