timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1]
2792209992,0.014390889,-0.02973431,-0.0135853235,-0.004483223,0.011892319,0.42071533,-0.015133724,0.011945128,0.0137797,-0.0038764477,0.0,0.0,0.0,0.0,-0.037317134,0.26111025,0.2611102,0.56459033,0.28884855,0.28884852,4.0197506,0.0025036659,0.002503743,0.002503136,0.09014807,0.0,0.0,0.0,0.0,0.05434972,2.5031924e-05,0.00052758615,0.0021266197,0.0,0.0,0.0,0.0
2792414173,0.033455737,0.031458914,0.0012118008,-0.005235672,0.019554138,0.53686523,-0.015133724,0.011945128,0.0137797,-0.013821721,0.0,0.0,0.0,0.0,0.017878374,0.26093364,0.2609336,0.56458884,0.2880408,0.2880408,4.0197735,0.0025036659,0.002503743,0.002503136,0.09014824,0.0,0.0,0.0,0.0,0.05381398,0.00013078768,0.0024256464,0.004543508,0.0,0.0,0.0,0.0
2792615131,0.012775701,-0.021558415,0.01405466,-0.0073518753,0.021604538,0.093322754,-0.015133724,0.011945128,0.0137797,-0.0020861626,0.0,0.0,0.0,0.0,-0.01818002,0.2611095,0.26110947,0.56458926,0.28885472,0.28885472,4.0197577,0.0025036659,0.002503743,0.002503136,0.09014815,0.0,0.0,0.0,0.0,0.05385097,0.00024873047,0.0012733996,0.0033395092,0.0,0.0,0.0,0.0
2792818859,0.022351922,-0.02508653,-0.054600548,0.0022249222,0.01818657,-0.12307739,-0.015133724,0.011945128,0.0137797,0.012278438,0.0,0.0,0.0,0.0,0.029789694,0.26096267,0.26096264,0.5645835,0.28817302,0.28817302,4.019784,0.0025036659,0.002503743,0.002503136,0.09014815,0.0,0.0,0.0,0.0,0.053954624,0.00017702398,0.0035890457,0.013283914,0.0,0.0,0.0,0.0
2793019668,-0.023131166,-0.0038392218,-0.008636271,0.0007123947,0.014299393,-1.1726379,-0.015133724,0.011945128,0.0137797,-0.008834958,0.0,0.0,0.0,0.0,0.019990155,0.2609729,0.2609729,0.56458455,0.28820002,0.28820002,4.019796,0.0025036659,0.002503743,0.002503136,0.09014814,0.0,0.0,0.0,0.0,0.054290555,0.00020208482,0.0064783287,0.026725259,0.0,0.0,0.0,0.0
2793219634,-0.028457781,-0.009393936,0.082756996,0.0010595322,0.009153366,-1.1262207,-0.015133724,0.011945128,0.0137797,-0.011487722,0.0,0.0,0.0,0.0,0.020484364,0.2609833,0.2609833,0.56458724,0.28825018,0.28825015,4.0198145,0.0025036659,0.002503743,0.002503136,0.09014815,0.0,0.0,0.0,0.0,0.053992208,0.0002959276,0.0058957026,0.041919347,0.0,0.0,0.0,0.0
2793420506,-0.00019044988,-0.02036711,-0.015854413,0.0020008087,0.0056610107,-0.35409546,-0.015133724,0.011945128,0.0137797,0.0005553961,0.0,0.0,0.0,0.0,0.008161094,0.26098812,0.26098806,0.5645879,0.28826898,0.28826898,4.019857,0.0025036659,0.002503743,0.002503136,0.09014815,0.0,0.0,0.0,0.0,0.054320123,0.00022950025,0.0034973011,0.03584304,0.0,0.0,0.0,0.0
2793620583,-0.010793164,-0.008864493,0.060093224,0.0018806458,0.0029315948,-1.5794373,-0.015133724,0.011945128,0.0137797,-0.015020609,0.0,0.0,0.0,0.0,-0.03888537,0.26088157,0.26088154,0.5645875,0.28780589,0.28780589,4.019871,0.0025036659,0.002503743,0.002503136,0.09014816,0.0,0.0,0.0,0.0,0.05289779,0.00020664124,0.0037363858,0.037110955,0.0,0.0,0.0,0.0
2793821364,0.016642965,-0.009687042,0.036388665,0.0028495789,0.009592056,-1.8974304,-0.015133724,0.011945128,0.0137797,0.011222005,0.0,0.0,0.0,0.0,0.00012462586,0.26101246,0.26101238,0.5645878,0.28839624,0.2883962,4.0198774,0.0025036659,0.002503743,0.002503136,0.09014816,0.0,0.0,0.0,0.0,0.05284655,0.00022965355,0.0021832644,0.032961316,0.0,0.0,0.0,0.0
2794025352,0.035027944,-0.051066235,-0.024908103,0.012866974,0.0052833557,-0.42391968,-0.015133724,0.011945128,0.0137797,-0.000161767,0.0,0.0,0.0,0.0,-0.02023638,0.261011,0.26101092,0.5645819,0.28839684,0.28839684,4.019832,0.0025036659,0.002503743,0.002503136,0.09014814,0.0,0.0,0.0,0.0,0.053486444,0.00027633275,0.0041500973,0.026949015,0.0,0.0,0.0,0.0
2794229255,-0.0029659064,-0.015056672,-0.011512011,0.009334564,-0.0051174164,-0.3355713,-0.015133724,0.011945128,0.0137797,0.008698225,0.0,0.0,0.0,0.0,-0.020264115,0.26099962,0.26099956,0.5645811,0.2882954,0.2882954,4.019811,0.0025036659,0.002503743,0.002503136,0.09014815,0.0,0.0,0.0,0.0,0.052821405,0.00016917115,0.005583588,0.028785601,0.0,0.0,0.0,0.0
2794430133,0.0037722955,-0.0025687767,0.039265294,0.008397102,-0.006498337,-0.3550415,-0.015133724,0.011945128,0.0137797,0.005284786,0.0,0.0,0.0,0.0,0.03179494,0.26104838,0.26104832,0.56458277,0.28856453,0.28856453,4.019789,0.0025036659,0.002503743,0.002503136,0.09014815,0.0,0.0,0.0,0.0,0.052847855,0.00018200846,0.002473245,0.0139016565,0.0,0.0,0.0,0.0
2794630150,0.0507975,-0.0038388753,-0.1175289,0.0076141357,-0.00756073,-1.605133,-0.015133724,0.011945128,0.0137797,-0.035463333,0.0,0.0,0.0,0.0,-0.028881887,0.26112083,0.261121,0.56458443,0.28856686,0.28856686,4.0197434,0.0025036659,0.002503743,0.002503136,0.09014824,0.0,0.0,0.0,0.0,0.05439738,0.0010192423,0.010293992,0.051574714,0.0,0.0,0.0,0.0
2794834867,0.12511006,-0.090038456,0.016278565,0.017663956,-0.01272583,0.17803955,-0.015133724,0.011945128,0.0137797,-0.03581083,0.0,0.0,0.0,0.0,-0.107786715,0.26150295,0.26150513,0.56458664,0.28834692,0.28834695,4.0197887,0.0025036659,0.002503743,0.002503136,0.09014826,0.0,0.0,0.0,0.0,0.053026274,0.00107009,0.011727493,0.042488806,0.0,0.0,0.0,0.0
2795034957,-0.006060347,-0.1277654,-0.0007289648,0.03186512,-0.03530121,0.9988098,-0.015133724,0.011945128,0.0137797,-0.028829098,0.0,0.0,0.0,0.0,0.009911184,0.26182702,0.26182687,0.56459385,0.28874996,0.28875017,4.0198693,0.0025036659,0.002503743,0.002503136,0.09014823,0.0,0.0,0.0,0.0,0.05487226,0.001015478,0.009481077,0.03847125,0.0,0.0,0.0,0.0
2795235714,-0.021517202,-0.020246536,0.13846552,0.02352333,-0.04439354,0.8707886,-0.015133724,0.011945128,0.0137797,-0.041952968,0.0,0.0,0.0,0.0,-0.0071452386,0.2619667,0.26195773,0.5645952,0.28883457,0.28883445,4.0199075,0.0025036659,0.002503743,0.002503136,0.090148225,0.0,0.0,0.0,0.0,0.05533559,0.0010690291,0.012101103,0.0521204,0.0,0.0,0.0,0.0
2795440521,0.07998743,-0.06621757,0.10955024,0.04129982,-0.048540115,0.15805054,-0.015133724,0.011945128,0.0137797,-0.034214854,0.0,0.0,0.0,0.0,-0.006390193,0.26213503,0.26211885,0.56459427,0.28948665,0.28948522,4.019916,0.0025036659,0.002503743,0.002503136,0.09014829,0.0,0.0,0.0,0.0,0.059169665,0.0009935881,0.017059335,0.056389045,0.0,0.0,0.0,0.0
2795644478,0.02815321,0.09284741,-0.037680745,0.03781128,-0.041147232,0.53671265,-0.015133724,0.011945128,0.0137797,-0.025182486,0.0,0.0,0.0,0.0,0.022350563,0.2619324,0.26191813,0.56459606,0.28893343,0.2889305,4.0199246,0.0025036659,0.002503743,0.002503136,0.090148196,0.0,0.0,0.0,0.0,0.06297877,0.00086994347,0.011521858,0.047755837,0.0,0.0,0.0,0.0
2795844441,0.036899395,-0.08201744,0.030098796,0.041841507,-0.04379654,0.030456543,-0.015133724,0.011945128,0.0137797,-0.03146231,0.0,0.0,0.0,0.0,0.0003472423,0.2617771,0.2617699,0.5645925,0.28874803,0.2887439,4.0199275,0.0025036659,0.002503743,0.002503136,0.09014843,0.0,0.0,0.0,0.0,0.06575754,0.0006550966,0.007900529,0.036732826,0.0,0.0,0.0,0.0
2796049289,0.033080652,-0.08798736,0.06023538,0.041229248,-0.05478096,0.3543396,-0.015133724,0.011945128,0.0137797,-0.029628396,0.0,0.0,0.0,0.0,0.0072666435,0.26164287,0.26164213,0.5645916,0.28880674,0.2888022,4.0199304,0.0025036659,0.002503743,0.002503136,0.0901485,0.0,0.0,0.0,0.0,0.072145775,0.0006638025,0.009657499,0.03881287,0.0,0.0,0.0,0.0
2796249591,-0.039128296,0.07816325,0.08635914,0.045963287,-0.0366745,0.7060852,-0.015133724,0.011945128,0.0137797,-0.026546359,0.0,0.0,0.0,0.0,0.027070396,0.2615058,0.26150742,0.56459,0.28886175,0.2888578,4.0199065,0.0025036659,0.002503743,0.002503136,0.09014849,0.0,0.0,0.0,0.0,0.07683009,0.00048714344,0.009589212,0.039420314,0.0,0.0,0.0,0.0
2796450192,0.020195693,0.17301857,0.046564937,0.033727646,-0.015794754,0.29803467,-0.015133724,0.011945128,0.0137797,-0.010897994,0.0,0.0,0.0,0.0,5.06399e-05,0.26140702,0.26140684,0.5645895,0.2891204,0.28911757,4.019878,0.0025036659,0.002503743,0.002503136,0.09014856,0.0,0.0,0.0,0.0,0.0835662,0.00045040317,0.011220627,0.03850034,0.0,0.0,0.0,0.0
2796654152,-0.08918331,0.12876178,0.04191637,0.028348923,-0.00042915344,0.35598755,-0.015133724,0.011945128,0.0137797,-0.018628359,0.0,0.0,0.0,0.0,0.06892663,0.26120222,0.2611992,0.56458944,0.28879276,0.2887908,4.019857,0.0025036659,0.002503743,0.002503136,0.09014855,0.0,0.0,0.0,0.0,0.08875137,0.0004179739,0.011268785,0.037298236,0.0,0.0,0.0,0.0
